,Ethnicity,Mode of study,Country of HE provider,Academic year,Classification of first degree,Number
5515,Mixed,Part-time,Northern Ireland,2017/18,First class honours,0
5516,Mixed,Part-time,Northern Ireland,2017/18,Upper second class honours,5
5517,Mixed,Part-time,Northern Ireland,2017/18,Lower second class honours,0
5518,Mixed,Part-time,Northern Ireland,2017/18,Third class honours/Pass,0
5519,Mixed,Part-time,Northern Ireland,2017/18,Unclassified,0
5520,Mixed,Full-time,Scotland,2017/18,First class honours,125
5521,Mixed,Full-time,Scotland,2017/18,Upper second class honours,250
5522,Mixed,Full-time,Scotland,2017/18,Lower second class honours,70
5523,Mixed,Full-time,Scotland,2017/18,Third class honours/Pass,10
5524,Mixed,Full-time,Scotland,2017/18,Unclassified,130
5525,Mixed,Part-time,Scotland,2017/18,First class honours,0
5526,Mixed,Part-time,Scotland,2017/18,Upper second class honours,10
5527,Mixed,Part-time,Scotland,2017/18,Lower second class honours,5
5528,Mixed,Part-time,Scotland,2017/18,Third class honours/Pass,0
5529,Mixed,Part-time,Scotland,2017/18,Unclassified,5
5530,Mixed,Full-time,Wales,2017/18,First class honours,110
5531,Mixed,Full-time,Wales,2017/18,Upper second class honours,220
5532,Mixed,Full-time,Wales,2017/18,Lower second class honours,85
5533,Mixed,Full-time,Wales,2017/18,Third class honours/Pass,15
5534,Mixed,Full-time,Wales,2017/18,Unclassified,15
5535,Mixed,Part-time,Wales,2017/18,First class honours,0
5536,Mixed,Part-time,Wales,2017/18,Upper second class honours,10
5537,Mixed,Part-time,Wales,2017/18,Lower second class honours,0
5538,Mixed,Part-time,Wales,2017/18,Third class honours/Pass,0
5539,Mixed,Part-time,Wales,2017/18,Unclassified,0
5540,Mixed,Full-time,England,2018/19,First class honours,3215
5541,Mixed,Full-time,England,2018/19,Upper second class honours,6140
5542,Mixed,Full-time,England,2018/19,Lower second class honours,2260
5543,Mixed,Full-time,England,2018/19,Third class honours/Pass,425
5544,Mixed,Full-time,England,2018/19,Unclassified,405
5545,Mixed,Part-time,England,2018/19,First class honours,85
5546,Mixed,Part-time,England,2018/19,Upper second class honours,215
5547,Mixed,Part-time,England,2018/19,Lower second class honours,205
5548,Mixed,Part-time,England,2018/19,Third class honours/Pass,130
5549,Mixed,Part-time,England,2018/19,Unclassified,20
5550,Mixed,Full-time,Northern Ireland,2018/19,First class honours,15
5551,Mixed,Full-time,Northern Ireland,2018/19,Upper second class honours,20
5552,Mixed,Full-time,Northern Ireland,2018/19,Lower second class honours,10
5553,Mixed,Full-time,Northern Ireland,2018/19,Third class honours/Pass,0
5554,Mixed,Full-time,Northern Ireland,2018/19,Unclassified,5
5555,Mixed,Part-time,Northern Ireland,2018/19,First class honours,0
5556,Mixed,Part-time,Northern Ireland,2018/19,Upper second class honours,5
5557,Mixed,Part-time,Northern Ireland,2018/19,Lower second class honours,5
5558,Mixed,Part-time,Northern Ireland,2018/19,Third class honours/Pass,0
5559,Mixed,Part-time,Northern Ireland,2018/19,Unclassified,0
5560,Mixed,Full-time,Scotland,2018/19,First class honours,135
5561,Mixed,Full-time,Scotland,2018/19,Upper second class honours,220
5562,Mixed,Full-time,Scotland,2018/19,Lower second class honours,60
5563,Mixed,Full-time,Scotland,2018/19,Third class honours/Pass,10
5564,Mixed,Full-time,Scotland,2018/19,Unclassified,125
5565,Mixed,Part-time,Scotland,2018/19,First class honours,0
5566,Mixed,Part-time,Scotland,2018/19,Upper second class honours,5
5567,Mixed,Part-time,Scotland,2018/19,Lower second class honours,5
5568,Mixed,Part-time,Scotland,2018/19,Third class honours/Pass,5
5569,Mixed,Part-time,Scotland,2018/19,Unclassified,10
5570,Mixed,Full-time,Wales,2018/19,First class honours,100
5571,Mixed,Full-time,Wales,2018/19,Upper second class honours,235
5572,Mixed,Full-time,Wales,2018/19,Lower second class honours,85
5573,Mixed,Full-time,Wales,2018/19,Third class honours/Pass,10
5574,Mixed,Full-time,Wales,2018/19,Unclassified,15
5575,Mixed,Part-time,Wales,2018/19,First class honours,0
5576,Mixed,Part-time,Wales,2018/19,Upper second class honours,5
5577,Mixed,Part-time,Wales,2018/19,Lower second class honours,5
5578,Mixed,Part-time,Wales,2018/19,Third class honours/Pass,5
5579,Mixed,Part-time,Wales,2018/19,Unclassified,0
5580,Mixed,Full-time,England,2019/20,First class honours,4070
5581,Mixed,Full-time,England,2019/20,Upper second class honours,6025
5582,Mixed,Full-time,England,2019/20,Lower second class honours,1785
5583,Mixed,Full-time,England,2019/20,Third class honours/Pass,250
5584,Mixed,Full-time,England,2019/20,Unclassified,415
5585,Mixed,Part-time,England,2019/20,First class honours,95
5586,Mixed,Part-time,England,2019/20,Upper second class honours,165
5587,Mixed,Part-time,England,2019/20,Lower second class honours,175
5588,Mixed,Part-time,England,2019/20,Third class honours/Pass,75
5589,Mixed,Part-time,England,2019/20,Unclassified,20
5590,Mixed,Full-time,Northern Ireland,2019/20,First class honours,20
5591,Mixed,Full-time,Northern Ireland,2019/20,Upper second class honours,40
5592,Mixed,Full-time,Northern Ireland,2019/20,Lower second class honours,5
5593,Mixed,Full-time,Northern Ireland,2019/20,Third class honours/Pass,0
5594,Mixed,Full-time,Northern Ireland,2019/20,Unclassified,5
5595,Mixed,Part-time,Northern Ireland,2019/20,First class honours,0
5596,Mixed,Part-time,Northern Ireland,2019/20,Upper second class honours,0
5597,Mixed,Part-time,Northern Ireland,2019/20,Lower second class honours,0
5598,Mixed,Part-time,Northern Ireland,2019/20,Third class honours/Pass,0
5599,Mixed,Part-time,Northern Ireland,2019/20,Unclassified,0
5600,Mixed,Full-time,Scotland,2019/20,First class honours,220
5601,Mixed,Full-time,Scotland,2019/20,Upper second class honours,265
5602,Mixed,Full-time,Scotland,2019/20,Lower second class honours,55
5603,Mixed,Full-time,Scotland,2019/20,Third class honours/Pass,15
5604,Mixed,Full-time,Scotland,2019/20,Unclassified,95
5605,Mixed,Part-time,Scotland,2019/20,First class honours,0
5606,Mixed,Part-time,Scotland,2019/20,Upper second class honours,5
5607,Mixed,Part-time,Scotland,2019/20,Lower second class honours,5
5608,Mixed,Part-time,Scotland,2019/20,Third class honours/Pass,0
5609,Mixed,Part-time,Scotland,2019/20,Unclassified,10
5610,Mixed,Full-time,Wales,2019/20,First class honours,165
5611,Mixed,Full-time,Wales,2019/20,Upper second class honours,240
5612,Mixed,Full-time,Wales,2019/20,Lower second class honours,70
5613,Mixed,Full-time,Wales,2019/20,Third class honours/Pass,10
5614,Mixed,Full-time,Wales,2019/20,Unclassified,15
5615,Mixed,Part-time,Wales,2019/20,First class honours,5
5616,Mixed,Part-time,Wales,2019/20,Upper second class honours,5
5617,Mixed,Part-time,Wales,2019/20,Lower second class honours,5
5618,Mixed,Part-time,Wales,2019/20,Third class honours/Pass,0
5619,Mixed,Part-time,Wales,2019/20,Unclassified,0
5620,Mixed,All,England,2014/15,First class honours,1890
5621,Mixed,All,England,2014/15,Upper second class honours,5070
5622,Mixed,All,England,2014/15,Lower second class honours,2235
5623,Mixed,All,England,2014/15,Third class honours/Pass,480
5624,Mixed,All,England,2014/15,Unclassified,425
5625,Mixed,All,Northern Ireland,2014/15,First class honours,5
5626,Mixed,All,Northern Ireland,2014/15,Upper second class honours,20
5627,Mixed,All,Northern Ireland,2014/15,Lower second class honours,15
5628,Mixed,All,Northern Ireland,2014/15,Third class honours/Pass,0
5629,Mixed,All,Northern Ireland,2014/15,Unclassified,5
5630,Mixed,All,Scotland,2014/15,First class honours,75
5631,Mixed,All,Scotland,2014/15,Upper second class honours,190
5632,Mixed,All,Scotland,2014/15,Lower second class honours,45
5633,Mixed,All,Scotland,2014/15,Third class honours/Pass,10
5634,Mixed,All,Scotland,2014/15,Unclassified,120
5635,Mixed,All,Wales,2014/15,First class honours,65
5636,Mixed,All,Wales,2014/15,Upper second class honours,160
5637,Mixed,All,Wales,2014/15,Lower second class honours,95
5638,Mixed,All,Wales,2014/15,Third class honours/Pass,20
5639,Mixed,All,Wales,2014/15,Unclassified,15
5640,Mixed,All,England,2015/16,First class honours,2160
5641,Mixed,All,England,2015/16,Upper second class honours,5325
5642,Mixed,All,England,2015/16,Lower second class honours,2380
5643,Mixed,All,England,2015/16,Third class honours/Pass,525
5644,Mixed,All,England,2015/16,Unclassified,335
5645,Mixed,All,Northern Ireland,2015/16,First class honours,10
5646,Mixed,All,Northern Ireland,2015/16,Upper second class honours,25
5647,Mixed,All,Northern Ireland,2015/16,Lower second class honours,10
5648,Mixed,All,Northern Ireland,2015/16,Third class honours/Pass,0
5649,Mixed,All,Northern Ireland,2015/16,Unclassified,0
5650,Mixed,All,Scotland,2015/16,First class honours,85
5651,Mixed,All,Scotland,2015/16,Upper second class honours,215
5652,Mixed,All,Scotland,2015/16,Lower second class honours,75
5653,Mixed,All,Scotland,2015/16,Third class honours/Pass,15
5654,Mixed,All,Scotland,2015/16,Unclassified,105
5655,Mixed,All,Wales,2015/16,First class honours,65
5656,Mixed,All,Wales,2015/16,Upper second class honours,215
5657,Mixed,All,Wales,2015/16,Lower second class honours,80
5658,Mixed,All,Wales,2015/16,Third class honours/Pass,20
5659,Mixed,All,Wales,2015/16,Unclassified,10
5660,Mixed,All,England,2016/17,First class honours,2650
5661,Mixed,All,England,2016/17,Upper second class honours,5530
5662,Mixed,All,England,2016/17,Lower second class honours,2340
5663,Mixed,All,England,2016/17,Third class honours/Pass,530
5664,Mixed,All,England,2016/17,Unclassified,390
5665,Mixed,All,Northern Ireland,2016/17,First class honours,20
5666,Mixed,All,Northern Ireland,2016/17,Upper second class honours,20
5667,Mixed,All,Northern Ireland,2016/17,Lower second class honours,5
5668,Mixed,All,Northern Ireland,2016/17,Third class honours/Pass,0
5669,Mixed,All,Northern Ireland,2016/17,Unclassified,5
5670,Mixed,All,Scotland,2016/17,First class honours,110
5671,Mixed,All,Scotland,2016/17,Upper second class honours,245
5672,Mixed,All,Scotland,2016/17,Lower second class honours,85
5673,Mixed,All,Scotland,2016/17,Third class honours/Pass,10
5674,Mixed,All,Scotland,2016/17,Unclassified,135
5675,Mixed,All,Wales,2016/17,First class honours,95
5676,Mixed,All,Wales,2016/17,Upper second class honours,195
5677,Mixed,All,Wales,2016/17,Lower second class honours,90
5678,Mixed,All,Wales,2016/17,Third class honours/Pass,15
5679,Mixed,All,Wales,2016/17,Unclassified,20
5680,Mixed,All,England,2017/18,First class honours,3130
5681,Mixed,All,England,2017/18,Upper second class honours,6015
5682,Mixed,All,England,2017/18,Lower second class honours,2250
5683,Mixed,All,England,2017/18,Third class honours/Pass,550
5684,Mixed,All,England,2017/18,Unclassified,390
5685,Mixed,All,Northern Ireland,2017/18,First class honours,10
5686,Mixed,All,Northern Ireland,2017/18,Upper second class honours,30
5687,Mixed,All,Northern Ireland,2017/18,Lower second class honours,10
5688,Mixed,All,Northern Ireland,2017/18,Third class honours/Pass,5
5689,Mixed,All,Northern Ireland,2017/18,Unclassified,5
5690,Mixed,All,Scotland,2017/18,First class honours,125
5691,Mixed,All,Scotland,2017/18,Upper second class honours,260
5692,Mixed,All,Scotland,2017/18,Lower second class honours,75
5693,Mixed,All,Scotland,2017/18,Third class honours/Pass,10
5694,Mixed,All,Scotland,2017/18,Unclassified,135
5695,Mixed,All,Wales,2017/18,First class honours,110
5696,Mixed,All,Wales,2017/18,Upper second class honours,230
5697,Mixed,All,Wales,2017/18,Lower second class honours,85
5698,Mixed,All,Wales,2017/18,Third class honours/Pass,15
5699,Mixed,All,Wales,2017/18,Unclassified,15
5700,Mixed,All,England,2018/19,First class honours,3300
5701,Mixed,All,England,2018/19,Upper second class honours,6355
5702,Mixed,All,England,2018/19,Lower second class honours,2465
5703,Mixed,All,England,2018/19,Third class honours/Pass,555
5704,Mixed,All,England,2018/19,Unclassified,425
5705,Mixed,All,Northern Ireland,2018/19,First class honours,15
5706,Mixed,All,Northern Ireland,2018/19,Upper second class honours,20
5707,Mixed,All,Northern Ireland,2018/19,Lower second class honours,10
5708,Mixed,All,Northern Ireland,2018/19,Third class honours/Pass,0
5709,Mixed,All,Northern Ireland,2018/19,Unclassified,5
5710,Mixed,All,Scotland,2018/19,First class honours,135
5711,Mixed,All,Scotland,2018/19,Upper second class honours,230
5712,Mixed,All,Scotland,2018/19,Lower second class honours,65
5713,Mixed,All,Scotland,2018/19,Third class honours/Pass,15
5714,Mixed,All,Scotland,2018/19,Unclassified,135
5715,Mixed,All,Wales,2018/19,First class honours,100
5716,Mixed,All,Wales,2018/19,Upper second class honours,240
5717,Mixed,All,Wales,2018/19,Lower second class honours,90
5718,Mixed,All,Wales,2018/19,Third class honours/Pass,15
5719,Mixed,All,Wales,2018/19,Unclassified,15
5720,Mixed,All,England,2019/20,First class honours,4165
5721,Mixed,All,England,2019/20,Upper second class honours,6190
5722,Mixed,All,England,2019/20,Lower second class honours,1955
5723,Mixed,All,England,2019/20,Third class honours/Pass,325
5724,Mixed,All,England,2019/20,Unclassified,435
5725,Mixed,All,Northern Ireland,2019/20,First class honours,20
5726,Mixed,All,Northern Ireland,2019/20,Upper second class honours,40
5727,Mixed,All,Northern Ireland,2019/20,Lower second class honours,5
5728,Mixed,All,Northern Ireland,2019/20,Third class honours/Pass,0
5729,Mixed,All,Northern Ireland,2019/20,Unclassified,5
5730,Mixed,All,Scotland,2019/20,First class honours,220
5731,Mixed,All,Scotland,2019/20,Upper second class honours,270
5732,Mixed,All,Scotland,2019/20,Lower second class honours,60
5733,Mixed,All,Scotland,2019/20,Third class honours/Pass,15
5734,Mixed,All,Scotland,2019/20,Unclassified,110
5735,Mixed,All,Wales,2019/20,First class honours,170
5736,Mixed,All,Wales,2019/20,Upper second class honours,240
5737,Mixed,All,Wales,2019/20,Lower second class honours,75
5738,Mixed,All,Wales,2019/20,Third class honours/Pass,10
5739,Mixed,All,Wales,2019/20,Unclassified,15
5740,Mixed,All,All,2014/15,First class honours,2035
5741,Mixed,All,All,2014/15,Upper second class honours,5445
5742,Mixed,All,All,2014/15,Lower second class honours,2390
5743,Mixed,All,All,2014/15,Third class honours/Pass,515
5744,Mixed,All,All,2014/15,Unclassified,565
5745,Mixed,All,All,2015/16,First class honours,2325
5746,Mixed,All,All,2015/16,Upper second class honours,5775
5747,Mixed,All,All,2015/16,Lower second class honours,2545
5748,Mixed,All,All,2015/16,Third class honours/Pass,560
5749,Mixed,All,All,2015/16,Unclassified,450
5750,Mixed,All,All,2016/17,First class honours,2880
5751,Mixed,All,All,2016/17,Upper second class honours,5990
5752,Mixed,All,All,2016/17,Lower second class honours,2515
5753,Mixed,All,All,2016/17,Third class honours/Pass,555
5754,Mixed,All,All,2016/17,Unclassified,545
5755,Mixed,All,All,2017/18,First class honours,3375
5756,Mixed,All,All,2017/18,Upper second class honours,6535
5757,Mixed,All,All,2017/18,Lower second class honours,2415
5758,Mixed,All,All,2017/18,Third class honours/Pass,580
5759,Mixed,All,All,2017/18,Unclassified,540
5760,Mixed,All,All,2018/19,First class honours,3550
5761,Mixed,All,All,2018/19,Upper second class honours,6845
5762,Mixed,All,All,2018/19,Lower second class honours,2635
5763,Mixed,All,All,2018/19,Third class honours/Pass,585
5764,Mixed,All,All,2018/19,Unclassified,580
5765,Mixed,All,All,2019/20,First class honours,4575
5766,Mixed,All,All,2019/20,Upper second class honours,6740
5767,Mixed,All,All,2019/20,Lower second class honours,2095
5768,Mixed,All,All,2019/20,Third class honours/Pass,355
5769,Mixed,All,All,2019/20,Unclassified,565
5770,Mixed,Full-time,All,2014/15,First class honours,1930
5771,Mixed,Full-time,All,2014/15,Upper second class honours,5205
5772,Mixed,Full-time,All,2014/15,Lower second class honours,2135
5773,Mixed,Full-time,All,2014/15,Third class honours/Pass,385
5774,Mixed,Full-time,All,2014/15,Unclassified,510
5775,Mixed,Full-time,All,2015/16,First class honours,2240
5776,Mixed,Full-time,All,2015/16,Upper second class honours,5560
5777,Mixed,Full-time,All,2015/16,Lower second class honours,2315
5778,Mixed,Full-time,All,2015/16,Third class honours/Pass,435
5779,Mixed,Full-time,All,2015/16,Unclassified,410
5780,Mixed,Full-time,All,2016/17,First class honours,2795
5781,Mixed,Full-time,All,2016/17,Upper second class honours,5780
5782,Mixed,Full-time,All,2016/17,Lower second class honours,2300
5783,Mixed,Full-time,All,2016/17,Third class honours/Pass,420
5784,Mixed,Full-time,All,2016/17,Unclassified,510
5785,Mixed,Full-time,All,2017/18,First class honours,3260
5786,Mixed,Full-time,All,2017/18,Upper second class honours,6340
5787,Mixed,Full-time,All,2017/18,Lower second class honours,2200
5788,Mixed,Full-time,All,2017/18,Third class honours/Pass,440
5789,Mixed,Full-time,All,2017/18,Unclassified,500
5790,Mixed,Full-time,All,2018/19,First class honours,3460
5791,Mixed,Full-time,All,2018/19,Upper second class honours,6615
5792,Mixed,Full-time,All,2018/19,Lower second class honours,2415
5793,Mixed,Full-time,All,2018/19,Third class honours/Pass,450
5794,Mixed,Full-time,All,2018/19,Unclassified,545
5795,Mixed,Full-time,All,2019/20,First class honours,4475
5796,Mixed,Full-time,All,2019/20,Upper second class honours,6570
5797,Mixed,Full-time,All,2019/20,Lower second class honours,1915
5798,Mixed,Full-time,All,2019/20,Third class honours/Pass,275
5799,Mixed,Full-time,All,2019/20,Unclassified,535
5800,Mixed,Part-time,All,2014/15,First class honours,105
5801,Mixed,Part-time,All,2014/15,Upper second class honours,240
5802,Mixed,Part-time,All,2014/15,Lower second class honours,255
5803,Mixed,Part-time,All,2014/15,Third class honours/Pass,130
5804,Mixed,Part-time,All,2014/15,Unclassified,50
5805,Mixed,Part-time,All,2015/16,First class honours,85
5806,Mixed,Part-time,All,2015/16,Upper second class honours,215
5807,Mixed,Part-time,All,2015/16,Lower second class honours,230
5808,Mixed,Part-time,All,2015/16,Third class honours/Pass,125
5809,Mixed,Part-time,All,2015/16,Unclassified,45
5810,Mixed,Part-time,All,2016/17,First class honours,85
5811,Mixed,Part-time,All,2016/17,Upper second class honours,210
5812,Mixed,Part-time,All,2016/17,Lower second class honours,215
5813,Mixed,Part-time,All,2016/17,Third class honours/Pass,135
5814,Mixed,Part-time,All,2016/17,Unclassified,35
5815,Mixed,Part-time,All,2017/18,First class honours,115
5816,Mixed,Part-time,All,2017/18,Upper second class honours,195
5817,Mixed,Part-time,All,2017/18,Lower second class honours,215
5818,Mixed,Part-time,All,2017/18,Third class honours/Pass,140
5819,Mixed,Part-time,All,2017/18,Unclassified,40
5820,Mixed,Part-time,All,2018/19,First class honours,90
5821,Mixed,Part-time,All,2018/19,Upper second class honours,225
5822,Mixed,Part-time,All,2018/19,Lower second class honours,215
5823,Mixed,Part-time,All,2018/19,Third class honours/Pass,135
5824,Mixed,Part-time,All,2018/19,Unclassified,35
5825,Mixed,Part-time,All,2019/20,First class honours,100
5826,Mixed,Part-time,All,2019/20,Upper second class honours,175
5827,Mixed,Part-time,All,2019/20,Lower second class honours,185
5828,Mixed,Part-time,All,2019/20,Third class honours/Pass,80
5829,Mixed,Part-time,All,2019/20,Unclassified,35
5830,Other,Full-time,England,2014/15,First class honours,520
5831,Other,Full-time,England,2014/15,Upper second class honours,1415
5832,Other,Full-time,England,2014/15,Lower second class honours,865
5833,Other,Full-time,England,2014/15,Third class honours/Pass,155
5834,Other,Full-time,England,2014/15,Unclassified,165
5835,Other,Part-time,England,2014/15,First class honours,35
5836,Other,Part-time,England,2014/15,Upper second class honours,80
5837,Other,Part-time,England,2014/15,Lower second class honours,135
5838,Other,Part-time,England,2014/15,Third class honours/Pass,75
5839,Other,Part-time,England,2014/15,Unclassified,30
5840,Other,Full-time,Northern Ireland,2014/15,First class honours,0
5841,Other,Full-time,Northern Ireland,2014/15,Upper second class honours,0
5842,Other,Full-time,Northern Ireland,2014/15,Lower second class honours,0
5843,Other,Full-time,Northern Ireland,2014/15,Third class honours/Pass,0
5844,Other,Full-time,Northern Ireland,2014/15,Unclassified,0
5845,Other,Part-time,Northern Ireland,2014/15,First class honours,0
5846,Other,Part-time,Northern Ireland,2014/15,Upper second class honours,0
5847,Other,Part-time,Northern Ireland,2014/15,Lower second class honours,0
5848,Other,Part-time,Northern Ireland,2014/15,Third class honours/Pass,0
5849,Other,Part-time,Northern Ireland,2014/15,Unclassified,0
5850,Other,Full-time,Scotland,2014/15,First class honours,15
5851,Other,Full-time,Scotland,2014/15,Upper second class honours,30
5852,Other,Full-time,Scotland,2014/15,Lower second class honours,15
5853,Other,Full-time,Scotland,2014/15,Third class honours/Pass,0
5854,Other,Full-time,Scotland,2014/15,Unclassified,35
5855,Other,Part-time,Scotland,2014/15,First class honours,0
5856,Other,Part-time,Scotland,2014/15,Upper second class honours,0
5857,Other,Part-time,Scotland,2014/15,Lower second class honours,0
5858,Other,Part-time,Scotland,2014/15,Third class honours/Pass,0
5859,Other,Part-time,Scotland,2014/15,Unclassified,5
5860,Other,Full-time,Wales,2014/15,First class honours,10
5861,Other,Full-time,Wales,2014/15,Upper second class honours,30
5862,Other,Full-time,Wales,2014/15,Lower second class honours,25
5863,Other,Full-time,Wales,2014/15,Third class honours/Pass,5
5864,Other,Full-time,Wales,2014/15,Unclassified,0
5865,Other,Part-time,Wales,2014/15,First class honours,0
5866,Other,Part-time,Wales,2014/15,Upper second class honours,5
5867,Other,Part-time,Wales,2014/15,Lower second class honours,5
5868,Other,Part-time,Wales,2014/15,Third class honours/Pass,0
5869,Other,Part-time,Wales,2014/15,Unclassified,0
5870,Other,Full-time,England,2015/16,First class honours,615
5871,Other,Full-time,England,2015/16,Upper second class honours,1675
5872,Other,Full-time,England,2015/16,Lower second class honours,925
5873,Other,Full-time,England,2015/16,Third class honours/Pass,210
5874,Other,Full-time,England,2015/16,Unclassified,190
5875,Other,Part-time,England,2015/16,First class honours,30
5876,Other,Part-time,England,2015/16,Upper second class honours,90
5877,Other,Part-time,England,2015/16,Lower second class honours,140
5878,Other,Part-time,England,2015/16,Third class honours/Pass,75
5879,Other,Part-time,England,2015/16,Unclassified,15
5880,Other,Full-time,Northern Ireland,2015/16,First class honours,0
5881,Other,Full-time,Northern Ireland,2015/16,Upper second class honours,5
5882,Other,Full-time,Northern Ireland,2015/16,Lower second class honours,5
5883,Other,Full-time,Northern Ireland,2015/16,Third class honours/Pass,0
5884,Other,Full-time,Northern Ireland,2015/16,Unclassified,0
5885,Other,Part-time,Northern Ireland,2015/16,First class honours,0
5886,Other,Part-time,Northern Ireland,2015/16,Upper second class honours,0
5887,Other,Part-time,Northern Ireland,2015/16,Lower second class honours,0
5888,Other,Part-time,Northern Ireland,2015/16,Third class honours/Pass,0
5889,Other,Part-time,Northern Ireland,2015/16,Unclassified,0
5890,Other,Full-time,Scotland,2015/16,First class honours,25
5891,Other,Full-time,Scotland,2015/16,Upper second class honours,35
5892,Other,Full-time,Scotland,2015/16,Lower second class honours,15
5893,Other,Full-time,Scotland,2015/16,Third class honours/Pass,5
5894,Other,Full-time,Scotland,2015/16,Unclassified,40
5895,Other,Part-time,Scotland,2015/16,First class honours,0
5896,Other,Part-time,Scotland,2015/16,Upper second class honours,5
5897,Other,Part-time,Scotland,2015/16,Lower second class honours,5
5898,Other,Part-time,Scotland,2015/16,Third class honours/Pass,0
5899,Other,Part-time,Scotland,2015/16,Unclassified,5
5900,Other,Full-time,Wales,2015/16,First class honours,15
5901,Other,Full-time,Wales,2015/16,Upper second class honours,40
5902,Other,Full-time,Wales,2015/16,Lower second class honours,20
5903,Other,Full-time,Wales,2015/16,Third class honours/Pass,5
5904,Other,Full-time,Wales,2015/16,Unclassified,5
5905,Other,Part-time,Wales,2015/16,First class honours,0
5906,Other,Part-time,Wales,2015/16,Upper second class honours,0
5907,Other,Part-time,Wales,2015/16,Lower second class honours,0
5908,Other,Part-time,Wales,2015/16,Third class honours/Pass,0
5909,Other,Part-time,Wales,2015/16,Unclassified,0
5910,Other,Full-time,England,2016/17,First class honours,770
5911,Other,Full-time,England,2016/17,Upper second class honours,1775
5912,Other,Full-time,England,2016/17,Lower second class honours,960
5913,Other,Full-time,England,2016/17,Third class honours/Pass,215
5914,Other,Full-time,England,2016/17,Unclassified,165
5915,Other,Part-time,England,2016/17,First class honours,35
5916,Other,Part-time,England,2016/17,Upper second class honours,80
5917,Other,Part-time,England,2016/17,Lower second class honours,80
5918,Other,Part-time,England,2016/17,Third class honours/Pass,65
5919,Other,Part-time,England,2016/17,Unclassified,10
5920,Other,Full-time,Northern Ireland,2016/17,First class honours,0
5921,Other,Full-time,Northern Ireland,2016/17,Upper second class honours,5
5922,Other,Full-time,Northern Ireland,2016/17,Lower second class honours,5
5923,Other,Full-time,Northern Ireland,2016/17,Third class honours/Pass,0
5924,Other,Full-time,Northern Ireland,2016/17,Unclassified,0
5925,Other,Part-time,Northern Ireland,2016/17,First class honours,0
5926,Other,Part-time,Northern Ireland,2016/17,Upper second class honours,0
5927,Other,Part-time,Northern Ireland,2016/17,Lower second class honours,0
5928,Other,Part-time,Northern Ireland,2016/17,Third class honours/Pass,0
5929,Other,Part-time,Northern Ireland,2016/17,Unclassified,0
5930,Other,Full-time,Scotland,2016/17,First class honours,30
5931,Other,Full-time,Scotland,2016/17,Upper second class honours,65
5932,Other,Full-time,Scotland,2016/17,Lower second class honours,30
5933,Other,Full-time,Scotland,2016/17,Third class honours/Pass,5
5934,Other,Full-time,Scotland,2016/17,Unclassified,50
5935,Other,Part-time,Scotland,2016/17,First class honours,0
5936,Other,Part-time,Scotland,2016/17,Upper second class honours,0
5937,Other,Part-time,Scotland,2016/17,Lower second class honours,0
5938,Other,Part-time,Scotland,2016/17,Third class honours/Pass,0
5939,Other,Part-time,Scotland,2016/17,Unclassified,5
5940,Other,Full-time,Wales,2016/17,First class honours,15
5941,Other,Full-time,Wales,2016/17,Upper second class honours,45
5942,Other,Full-time,Wales,2016/17,Lower second class honours,25
5943,Other,Full-time,Wales,2016/17,Third class honours/Pass,5
5944,Other,Full-time,Wales,2016/17,Unclassified,5
5945,Other,Part-time,Wales,2016/17,First class honours,0
5946,Other,Part-time,Wales,2016/17,Upper second class honours,0
5947,Other,Part-time,Wales,2016/17,Lower second class honours,0
5948,Other,Part-time,Wales,2016/17,Third class honours/Pass,0
5949,Other,Part-time,Wales,2016/17,Unclassified,0
5950,Other,Full-time,England,2017/18,First class honours,885
5951,Other,Full-time,England,2017/18,Upper second class honours,1865
5952,Other,Full-time,England,2017/18,Lower second class honours,1005
5953,Other,Full-time,England,2017/18,Third class honours/Pass,220
5954,Other,Full-time,England,2017/18,Unclassified,215
5955,Other,Part-time,England,2017/18,First class honours,30
5956,Other,Part-time,England,2017/18,Upper second class honours,70
5957,Other,Part-time,England,2017/18,Lower second class honours,105
5958,Other,Part-time,England,2017/18,Third class honours/Pass,65
5959,Other,Part-time,England,2017/18,Unclassified,15
5960,Other,Full-time,Northern Ireland,2017/18,First class honours,5
5961,Other,Full-time,Northern Ireland,2017/18,Upper second class honours,5
5962,Other,Full-time,Northern Ireland,2017/18,Lower second class honours,0
5963,Other,Full-time,Northern Ireland,2017/18,Third class honours/Pass,0
5964,Other,Full-time,Northern Ireland,2017/18,Unclassified,0
5965,Other,Part-time,Northern Ireland,2017/18,First class honours,0
5966,Other,Part-time,Northern Ireland,2017/18,Upper second class honours,0
5967,Other,Part-time,Northern Ireland,2017/18,Lower second class honours,0
5968,Other,Part-time,Northern Ireland,2017/18,Third class honours/Pass,0
5969,Other,Part-time,Northern Ireland,2017/18,Unclassified,0
5970,Other,Full-time,Scotland,2017/18,First class honours,15
5971,Other,Full-time,Scotland,2017/18,Upper second class honours,50
5972,Other,Full-time,Scotland,2017/18,Lower second class honours,30
5973,Other,Full-time,Scotland,2017/18,Third class honours/Pass,5
5974,Other,Full-time,Scotland,2017/18,Unclassified,55
5975,Other,Part-time,Scotland,2017/18,First class honours,0
5976,Other,Part-time,Scotland,2017/18,Upper second class honours,0
