,Age Group,Mode of study,Country of HE provider,Academic year,Classification of first degree,Number
2753,30 years and over,Full-time,Wales,2018/19,Third class honours/Pass,80
2754,30 years and over,Full-time,Wales,2018/19,Unclassified,40
2755,30 years and over,Part-time,Wales,2018/19,First class honours,180
2756,30 years and over,Part-time,Wales,2018/19,Upper second class honours,240
2757,30 years and over,Part-time,Wales,2018/19,Lower second class honours,160
2758,30 years and over,Part-time,Wales,2018/19,Third class honours/Pass,70
2759,30 years and over,Part-time,Wales,2018/19,Unclassified,40
2760,30 years and over,Full-time,England,2019/20,First class honours,7205
2761,30 years and over,Full-time,England,2019/20,Upper second class honours,8680
2762,30 years and over,Full-time,England,2019/20,Lower second class honours,4770
2763,30 years and over,Full-time,England,2019/20,Third class honours/Pass,1250
2764,30 years and over,Full-time,England,2019/20,Unclassified,750
2765,30 years and over,Part-time,England,2019/20,First class honours,1950
2766,30 years and over,Part-time,England,2019/20,Upper second class honours,2465
2767,30 years and over,Part-time,England,2019/20,Lower second class honours,1570
2768,30 years and over,Part-time,England,2019/20,Third class honours/Pass,905
2769,30 years and over,Part-time,England,2019/20,Unclassified,420
2770,30 years and over,Full-time,Northern Ireland,2019/20,First class honours,155
2771,30 years and over,Full-time,Northern Ireland,2019/20,Upper second class honours,280
2772,30 years and over,Full-time,Northern Ireland,2019/20,Lower second class honours,100
2773,30 years and over,Full-time,Northern Ireland,2019/20,Third class honours/Pass,15
2774,30 years and over,Full-time,Northern Ireland,2019/20,Unclassified,10
2775,30 years and over,Part-time,Northern Ireland,2019/20,First class honours,95
2776,30 years and over,Part-time,Northern Ireland,2019/20,Upper second class honours,120
2777,30 years and over,Part-time,Northern Ireland,2019/20,Lower second class honours,65
2778,30 years and over,Part-time,Northern Ireland,2019/20,Third class honours/Pass,25
2779,30 years and over,Part-time,Northern Ireland,2019/20,Unclassified,0
2780,30 years and over,Full-time,Scotland,2019/20,First class honours,470
2781,30 years and over,Full-time,Scotland,2019/20,Upper second class honours,560
2782,30 years and over,Full-time,Scotland,2019/20,Lower second class honours,195
2783,30 years and over,Full-time,Scotland,2019/20,Third class honours/Pass,70
2784,30 years and over,Full-time,Scotland,2019/20,Unclassified,1350
2785,30 years and over,Part-time,Scotland,2019/20,First class honours,95
2786,30 years and over,Part-time,Scotland,2019/20,Upper second class honours,125
2787,30 years and over,Part-time,Scotland,2019/20,Lower second class honours,80
2788,30 years and over,Part-time,Scotland,2019/20,Third class honours/Pass,50
2789,30 years and over,Part-time,Scotland,2019/20,Unclassified,775
2790,30 years and over,Full-time,Wales,2019/20,First class honours,765
2791,30 years and over,Full-time,Wales,2019/20,Upper second class honours,665
2792,30 years and over,Full-time,Wales,2019/20,Lower second class honours,320
2793,30 years and over,Full-time,Wales,2019/20,Third class honours/Pass,75
2794,30 years and over,Full-time,Wales,2019/20,Unclassified,35
2795,30 years and over,Part-time,Wales,2019/20,First class honours,135
2796,30 years and over,Part-time,Wales,2019/20,Upper second class honours,155
2797,30 years and over,Part-time,Wales,2019/20,Lower second class honours,80
2798,30 years and over,Part-time,Wales,2019/20,Third class honours/Pass,35
2799,30 years and over,Part-time,Wales,2019/20,Unclassified,15
2800,30 years and over,All,England,2014/15,First class honours,8020
2801,30 years and over,All,England,2014/15,Upper second class honours,14415
2802,30 years and over,All,England,2014/15,Lower second class honours,9385
2803,30 years and over,All,England,2014/15,Third class honours/Pass,3585
2804,30 years and over,All,England,2014/15,Unclassified,2495
2805,30 years and over,All,Northern Ireland,2014/15,First class honours,215
2806,30 years and over,All,Northern Ireland,2014/15,Upper second class honours,480
2807,30 years and over,All,Northern Ireland,2014/15,Lower second class honours,240
2808,30 years and over,All,Northern Ireland,2014/15,Third class honours/Pass,55
2809,30 years and over,All,Northern Ireland,2014/15,Unclassified,35
2810,30 years and over,All,Scotland,2014/15,First class honours,415
2811,30 years and over,All,Scotland,2014/15,Upper second class honours,875
2812,30 years and over,All,Scotland,2014/15,Lower second class honours,565
2813,30 years and over,All,Scotland,2014/15,Third class honours/Pass,155
2814,30 years and over,All,Scotland,2014/15,Unclassified,2550
2815,30 years and over,All,Wales,2014/15,First class honours,530
2816,30 years and over,All,Wales,2014/15,Upper second class honours,905
2817,30 years and over,All,Wales,2014/15,Lower second class honours,560
2818,30 years and over,All,Wales,2014/15,Third class honours/Pass,185
2819,30 years and over,All,Wales,2014/15,Unclassified,145
2820,30 years and over,All,England,2015/16,First class honours,8130
2821,30 years and over,All,England,2015/16,Upper second class honours,13905
2822,30 years and over,All,England,2015/16,Lower second class honours,9175
2823,30 years and over,All,England,2015/16,Third class honours/Pass,3680
2824,30 years and over,All,England,2015/16,Unclassified,2265
2825,30 years and over,All,Northern Ireland,2015/16,First class honours,235
2826,30 years and over,All,Northern Ireland,2015/16,Upper second class honours,480
2827,30 years and over,All,Northern Ireland,2015/16,Lower second class honours,195
2828,30 years and over,All,Northern Ireland,2015/16,Third class honours/Pass,65
2829,30 years and over,All,Northern Ireland,2015/16,Unclassified,40
2830,30 years and over,All,Scotland,2015/16,First class honours,425
2831,30 years and over,All,Scotland,2015/16,Upper second class honours,825
2832,30 years and over,All,Scotland,2015/16,Lower second class honours,540
2833,30 years and over,All,Scotland,2015/16,Third class honours/Pass,155
2834,30 years and over,All,Scotland,2015/16,Unclassified,2330
2835,30 years and over,All,Wales,2015/16,First class honours,575
2836,30 years and over,All,Wales,2015/16,Upper second class honours,850
2837,30 years and over,All,Wales,2015/16,Lower second class honours,455
2838,30 years and over,All,Wales,2015/16,Third class honours/Pass,150
2839,30 years and over,All,Wales,2015/16,Unclassified,135
2840,30 years and over,All,England,2016/17,First class honours,9060
2841,30 years and over,All,England,2016/17,Upper second class honours,14075
2842,30 years and over,All,England,2016/17,Lower second class honours,9310
2843,30 years and over,All,England,2016/17,Third class honours/Pass,3910
2844,30 years and over,All,England,2016/17,Unclassified,2025
2845,30 years and over,All,Northern Ireland,2016/17,First class honours,235
2846,30 years and over,All,Northern Ireland,2016/17,Upper second class honours,515
2847,30 years and over,All,Northern Ireland,2016/17,Lower second class honours,245
2848,30 years and over,All,Northern Ireland,2016/17,Third class honours/Pass,45
2849,30 years and over,All,Northern Ireland,2016/17,Unclassified,40
2850,30 years and over,All,Scotland,2016/17,First class honours,450
2851,30 years and over,All,Scotland,2016/17,Upper second class honours,925
2852,30 years and over,All,Scotland,2016/17,Lower second class honours,525
2853,30 years and over,All,Scotland,2016/17,Third class honours/Pass,185
2854,30 years and over,All,Scotland,2016/17,Unclassified,2365
2855,30 years and over,All,Wales,2016/17,First class honours,685
2856,30 years and over,All,Wales,2016/17,Upper second class honours,890
2857,30 years and over,All,Wales,2016/17,Lower second class honours,490
2858,30 years and over,All,Wales,2016/17,Third class honours/Pass,175
2859,30 years and over,All,Wales,2016/17,Unclassified,125
2860,30 years and over,All,England,2017/18,First class honours,8995
2861,30 years and over,All,England,2017/18,Upper second class honours,12765
2862,30 years and over,All,England,2017/18,Lower second class honours,8480
2863,30 years and over,All,England,2017/18,Third class honours/Pass,3645
2864,30 years and over,All,England,2017/18,Unclassified,1650
2865,30 years and over,All,Northern Ireland,2017/18,First class honours,285
2866,30 years and over,All,Northern Ireland,2017/18,Upper second class honours,500
2867,30 years and over,All,Northern Ireland,2017/18,Lower second class honours,250
2868,30 years and over,All,Northern Ireland,2017/18,Third class honours/Pass,60
2869,30 years and over,All,Northern Ireland,2017/18,Unclassified,25
2870,30 years and over,All,Scotland,2017/18,First class honours,530
2871,30 years and over,All,Scotland,2017/18,Upper second class honours,840
2872,30 years and over,All,Scotland,2017/18,Lower second class honours,495
2873,30 years and over,All,Scotland,2017/18,Third class honours/Pass,195
2874,30 years and over,All,Scotland,2017/18,Unclassified,2320
2875,30 years and over,All,Wales,2017/18,First class honours,760
2876,30 years and over,All,Wales,2017/18,Upper second class honours,820
2877,30 years and over,All,Wales,2017/18,Lower second class honours,445
2878,30 years and over,All,Wales,2017/18,Third class honours/Pass,150
2879,30 years and over,All,Wales,2017/18,Unclassified,125
2880,30 years and over,All,England,2018/19,First class honours,9125
2881,30 years and over,All,England,2018/19,Upper second class honours,12735
2882,30 years and over,All,England,2018/19,Lower second class honours,7985
2883,30 years and over,All,England,2018/19,Third class honours/Pass,3300
2884,30 years and over,All,England,2018/19,Unclassified,1485
2885,30 years and over,All,Northern Ireland,2018/19,First class honours,285
2886,30 years and over,All,Northern Ireland,2018/19,Upper second class honours,455
2887,30 years and over,All,Northern Ireland,2018/19,Lower second class honours,205
2888,30 years and over,All,Northern Ireland,2018/19,Third class honours/Pass,40
2889,30 years and over,All,Northern Ireland,2018/19,Unclassified,20
2890,30 years and over,All,Scotland,2018/19,First class honours,545
2891,30 years and over,All,Scotland,2018/19,Upper second class honours,975
2892,30 years and over,All,Scotland,2018/19,Lower second class honours,495
2893,30 years and over,All,Scotland,2018/19,Third class honours/Pass,165
2894,30 years and over,All,Scotland,2018/19,Unclassified,2530
2895,30 years and over,All,Wales,2018/19,First class honours,815
2896,30 years and over,All,Wales,2018/19,Upper second class honours,815
2897,30 years and over,All,Wales,2018/19,Lower second class honours,470
2898,30 years and over,All,Wales,2018/19,Third class honours/Pass,150
2899,30 years and over,All,Wales,2018/19,Unclassified,80
2900,30 years and over,All,England,2019/20,First class honours,9160
2901,30 years and over,All,England,2019/20,Upper second class honours,11150
2902,30 years and over,All,England,2019/20,Lower second class honours,6335
2903,30 years and over,All,England,2019/20,Third class honours/Pass,2155
2904,30 years and over,All,England,2019/20,Unclassified,1170
2905,30 years and over,All,Northern Ireland,2019/20,First class honours,250
2906,30 years and over,All,Northern Ireland,2019/20,Upper second class honours,400
2907,30 years and over,All,Northern Ireland,2019/20,Lower second class honours,165
2908,30 years and over,All,Northern Ireland,2019/20,Third class honours/Pass,35
2909,30 years and over,All,Northern Ireland,2019/20,Unclassified,15
2910,30 years and over,All,Scotland,2019/20,First class honours,570
2911,30 years and over,All,Scotland,2019/20,Upper second class honours,685
2912,30 years and over,All,Scotland,2019/20,Lower second class honours,275
2913,30 years and over,All,Scotland,2019/20,Third class honours/Pass,120
2914,30 years and over,All,Scotland,2019/20,Unclassified,2125
2915,30 years and over,All,Wales,2019/20,First class honours,900
2916,30 years and over,All,Wales,2019/20,Upper second class honours,820
2917,30 years and over,All,Wales,2019/20,Lower second class honours,400
2918,30 years and over,All,Wales,2019/20,Third class honours/Pass,110
2919,30 years and over,All,Wales,2019/20,Unclassified,45
2920,30 years and over,All,All,2014/15,First class honours,9180
2921,30 years and over,All,All,2014/15,Upper second class honours,16675
2922,30 years and over,All,All,2014/15,Lower second class honours,10750
2923,30 years and over,All,All,2014/15,Third class honours/Pass,3975
2924,30 years and over,All,All,2014/15,Unclassified,5225
2925,30 years and over,All,All,2015/16,First class honours,9365
2926,30 years and over,All,All,2015/16,Upper second class honours,16060
2927,30 years and over,All,All,2015/16,Lower second class honours,10360
2928,30 years and over,All,All,2015/16,Third class honours/Pass,4050
2929,30 years and over,All,All,2015/16,Unclassified,4775
2930,30 years and over,All,All,2016/17,First class honours,10430
2931,30 years and over,All,All,2016/17,Upper second class honours,16400
2932,30 years and over,All,All,2016/17,Lower second class honours,10570
2933,30 years and over,All,All,2016/17,Third class honours/Pass,4310
2934,30 years and over,All,All,2016/17,Unclassified,4555
2935,30 years and over,All,All,2017/18,First class honours,10570
2936,30 years and over,All,All,2017/18,Upper second class honours,14925
2937,30 years and over,All,All,2017/18,Lower second class honours,9670
2938,30 years and over,All,All,2017/18,Third class honours/Pass,4045
2939,30 years and over,All,All,2017/18,Unclassified,4125
2940,30 years and over,All,All,2018/19,First class honours,10775
2941,30 years and over,All,All,2018/19,Upper second class honours,14980
2942,30 years and over,All,All,2018/19,Lower second class honours,9155
2943,30 years and over,All,All,2018/19,Third class honours/Pass,3655
2944,30 years and over,All,All,2018/19,Unclassified,4120
2945,30 years and over,All,All,2019/20,First class honours,10880
2946,30 years and over,All,All,2019/20,Upper second class honours,13050
2947,30 years and over,All,All,2019/20,Lower second class honours,7175
2948,30 years and over,All,All,2019/20,Third class honours/Pass,2420
2949,30 years and over,All,All,2019/20,Unclassified,3360
2950,30 years and over,Full-time,All,2014/15,First class honours,5385
2951,30 years and over,Full-time,All,2014/15,Upper second class honours,9255
2952,30 years and over,Full-time,All,2014/15,Lower second class honours,5690
2953,30 years and over,Full-time,All,2014/15,Third class honours/Pass,1420
2954,30 years and over,Full-time,All,2014/15,Unclassified,2205
2955,30 years and over,Full-time,All,2015/16,First class honours,5885
2956,30 years and over,Full-time,All,2015/16,Upper second class honours,9505
2957,30 years and over,Full-time,All,2015/16,Lower second class honours,5830
2958,30 years and over,Full-time,All,2015/16,Third class honours/Pass,1550
2959,30 years and over,Full-time,All,2015/16,Unclassified,2205
2960,30 years and over,Full-time,All,2016/17,First class honours,6765
2961,30 years and over,Full-time,All,2016/17,Upper second class honours,9880
2962,30 years and over,Full-time,All,2016/17,Lower second class honours,6055
2963,30 years and over,Full-time,All,2016/17,Third class honours/Pass,1745
2964,30 years and over,Full-time,All,2016/17,Unclassified,2275
2965,30 years and over,Full-time,All,2017/18,First class honours,7495
2966,30 years and over,Full-time,All,2017/18,Upper second class honours,9930
2967,30 years and over,Full-time,All,2017/18,Lower second class honours,5925
2968,30 years and over,Full-time,All,2017/18,Third class honours/Pass,1785
2969,30 years and over,Full-time,All,2017/18,Unclassified,2175
2970,30 years and over,Full-time,All,2018/19,First class honours,7760
2971,30 years and over,Full-time,All,2018/19,Upper second class honours,9985
2972,30 years and over,Full-time,All,2018/19,Lower second class honours,5950
2973,30 years and over,Full-time,All,2018/19,Third class honours/Pass,1745
2974,30 years and over,Full-time,All,2018/19,Unclassified,2335
2975,30 years and over,Full-time,All,2019/20,First class honours,8600
2976,30 years and over,Full-time,All,2019/20,Upper second class honours,10185
2977,30 years and over,Full-time,All,2019/20,Lower second class honours,5385
2978,30 years and over,Full-time,All,2019/20,Third class honours/Pass,1410
2979,30 years and over,Full-time,All,2019/20,Unclassified,2145
2980,30 years and over,Part-time,All,2014/15,First class honours,3790
2981,30 years and over,Part-time,All,2014/15,Upper second class honours,7420
2982,30 years and over,Part-time,All,2014/15,Lower second class honours,5060
2983,30 years and over,Part-time,All,2014/15,Third class honours/Pass,2555
2984,30 years and over,Part-time,All,2014/15,Unclassified,3015
2985,30 years and over,Part-time,All,2015/16,First class honours,3480
2986,30 years and over,Part-time,All,2015/16,Upper second class honours,6555
2987,30 years and over,Part-time,All,2015/16,Lower second class honours,4535
2988,30 years and over,Part-time,All,2015/16,Third class honours/Pass,2500
2989,30 years and over,Part-time,All,2015/16,Unclassified,2570
2990,30 years and over,Part-time,All,2016/17,First class honours,3665
2991,30 years and over,Part-time,All,2016/17,Upper second class honours,6525
2992,30 years and over,Part-time,All,2016/17,Lower second class honours,4515
2993,30 years and over,Part-time,All,2016/17,Third class honours/Pass,2565
2994,30 years and over,Part-time,All,2016/17,Unclassified,2280
2995,30 years and over,Part-time,All,2017/18,First class honours,3070
2996,30 years and over,Part-time,All,2017/18,Upper second class honours,4990
2997,30 years and over,Part-time,All,2017/18,Lower second class honours,3740
2998,30 years and over,Part-time,All,2017/18,Third class honours/Pass,2260
2999,30 years and over,Part-time,All,2017/18,Unclassified,1950
3000,30 years and over,Part-time,All,2018/19,First class honours,3015
3001,30 years and over,Part-time,All,2018/19,Upper second class honours,4990
3002,30 years and over,Part-time,All,2018/19,Lower second class honours,3200
3003,30 years and over,Part-time,All,2018/19,Third class honours/Pass,1905
3004,30 years and over,Part-time,All,2018/19,Unclassified,1785
3005,30 years and over,Part-time,All,2019/20,First class honours,2280
3006,30 years and over,Part-time,All,2019/20,Upper second class honours,2865
3007,30 years and over,Part-time,All,2019/20,Lower second class honours,1790
3008,30 years and over,Part-time,All,2019/20,Third class honours/Pass,1010
3009,30 years and over,Part-time,All,2019/20,Unclassified,1210
3010,Age unknown,Full-time,England,2014/15,First class honours,0
3011,Age unknown,Full-time,England,2014/15,Upper second class honours,0
3012,Age unknown,Full-time,England,2014/15,Lower second class honours,0
3013,Age unknown,Full-time,England,2014/15,Third class honours/Pass,0
3014,Age unknown,Full-time,England,2014/15,Unclassified,0
3015,Age unknown,Part-time,England,2014/15,First class honours,0
3016,Age unknown,Part-time,England,2014/15,Upper second class honours,0
3017,Age unknown,Part-time,England,2014/15,Lower second class honours,0
3018,Age unknown,Part-time,England,2014/15,Third class honours/Pass,0
3019,Age unknown,Part-time,England,2014/15,Unclassified,0
3020,Age unknown,Part-time,Scotland,2014/15,First class honours,0
3021,Age unknown,Part-time,Scotland,2014/15,Upper second class honours,0
3022,Age unknown,Part-time,Scotland,2014/15,Lower second class honours,0
3023,Age unknown,Part-time,Scotland,2014/15,Third class honours/Pass,0
3024,Age unknown,Part-time,Scotland,2014/15,Unclassified,0
3025,Age unknown,Full-time,England,2015/16,First class honours,0
3026,Age unknown,Full-time,England,2015/16,Upper second class honours,0
3027,Age unknown,Full-time,England,2015/16,Lower second class honours,0
3028,Age unknown,Full-time,England,2015/16,Third class honours/Pass,0
3029,Age unknown,Full-time,England,2015/16,Unclassified,0
3030,Age unknown,Full-time,England,2017/18,First class honours,0
3031,Age unknown,Full-time,England,2017/18,Upper second class honours,0
3032,Age unknown,Full-time,England,2017/18,Lower second class honours,0
3033,Age unknown,Full-time,England,2017/18,Third class honours/Pass,0
3034,Age unknown,Full-time,England,2017/18,Unclassified,0
3035,Age unknown,Full-time,England,2018/19,First class honours,0
3036,Age unknown,Full-time,England,2018/19,Upper second class honours,0
3037,Age unknown,Full-time,England,2018/19,Lower second class honours,0
3038,Age unknown,Full-time,England,2018/19,Third class honours/Pass,0
3039,Age unknown,Full-time,England,2018/19,Unclassified,0
3040,Age unknown,Full-time,England,2019/20,First class honours,0
3041,Age unknown,Full-time,England,2019/20,Upper second class honours,0
3042,Age unknown,Full-time,England,2019/20,Lower second class honours,0
3043,Age unknown,Full-time,England,2019/20,Third class honours/Pass,0
3044,Age unknown,Full-time,England,2019/20,Unclassified,0
3045,Age unknown,All,England,2014/15,First class honours,0
3046,Age unknown,All,England,2014/15,Upper second class honours,5
3047,Age unknown,All,England,2014/15,Lower second class honours,0
3048,Age unknown,All,England,2014/15,Third class honours/Pass,0
3049,Age unknown,All,England,2014/15,Unclassified,0
3050,Age unknown,All,Scotland,2014/15,First class honours,0
3051,Age unknown,All,Scotland,2014/15,Upper second class honours,0
3052,Age unknown,All,Scotland,2014/15,Lower second class honours,0
3053,Age unknown,All,Scotland,2014/15,Third class honours/Pass,0
3054,Age unknown,All,Scotland,2014/15,Unclassified,0
3055,Age unknown,All,England,2015/16,First class honours,0
3056,Age unknown,All,England,2015/16,Upper second class honours,0
3057,Age unknown,All,England,2015/16,Lower second class honours,0
3058,Age unknown,All,England,2015/16,Third class honours/Pass,0
3059,Age unknown,All,England,2015/16,Unclassified,0
3060,Age unknown,All,England,2017/18,First class honours,0
3061,Age unknown,All,England,2017/18,Upper second class honours,0
3062,Age unknown,All,England,2017/18,Lower second class honours,0
3063,Age unknown,All,England,2017/18,Third class honours/Pass,0
3064,Age unknown,All,England,2017/18,Unclassified,0
3065,Age unknown,All,England,2018/19,First class honours,0
3066,Age unknown,All,England,2018/19,Upper second class honours,0
3067,Age unknown,All,England,2018/19,Lower second class honours,0
3068,Age unknown,All,England,2018/19,Third class honours/Pass,0
3069,Age unknown,All,England,2018/19,Unclassified,0
3070,Age unknown,All,England,2019/20,First class honours,0
3071,Age unknown,All,England,2019/20,Upper second class honours,0
3072,Age unknown,All,England,2019/20,Lower second class honours,0
3073,Age unknown,All,England,2019/20,Third class honours/Pass,0
3074,Age unknown,All,England,2019/20,Unclassified,0
3075,Age unknown,All,All,2014/15,First class honours,0
3076,Age unknown,All,All,2014/15,Upper second class honours,5
3077,Age unknown,All,All,2014/15,Lower second class honours,0
3078,Age unknown,All,All,2014/15,Third class honours/Pass,0
3079,Age unknown,All,All,2014/15,Unclassified,0
3080,Age unknown,All,All,2015/16,First class honours,0
3081,Age unknown,All,All,2015/16,Upper second class honours,0
3082,Age unknown,All,All,2015/16,Lower second class honours,0
3083,Age unknown,All,All,2015/16,Third class honours/Pass,0
3084,Age unknown,All,All,2015/16,Unclassified,0
3085,Age unknown,All,All,2017/18,First class honours,0
3086,Age unknown,All,All,2017/18,Upper second class honours,0
3087,Age unknown,All,All,2017/18,Lower second class honours,0
3088,Age unknown,All,All,2017/18,Third class honours/Pass,0
3089,Age unknown,All,All,2017/18,Unclassified,0
3090,Age unknown,All,All,2018/19,First class honours,0
3091,Age unknown,All,All,2018/19,Upper second class honours,0
3092,Age unknown,All,All,2018/19,Lower second class honours,0
3093,Age unknown,All,All,2018/19,Third class honours/Pass,0
3094,Age unknown,All,All,2018/19,Unclassified,0
3095,Age unknown,All,All,2019/20,First class honours,0
3096,Age unknown,All,All,2019/20,Upper second class honours,0
3097,Age unknown,All,All,2019/20,Lower second class honours,0
3098,Age unknown,All,All,2019/20,Third class honours/Pass,0
3099,Age unknown,All,All,2019/20,Unclassified,0
3100,Age unknown,Full-time,All,2014/15,First class honours,0
3101,Age unknown,Full-time,All,2014/15,Upper second class honours,0
3102,Age unknown,Full-time,All,2014/15,Lower second class honours,0
3103,Age unknown,Full-time,All,2014/15,Third class honours/Pass,0
3104,Age unknown,Full-time,All,2014/15,Unclassified,0
3105,Age unknown,Full-time,All,2015/16,First class honours,0
3106,Age unknown,Full-time,All,2015/16,Upper second class honours,0
3107,Age unknown,Full-time,All,2015/16,Lower second class honours,0
3108,Age unknown,Full-time,All,2015/16,Third class honours/Pass,0
3109,Age unknown,Full-time,All,2015/16,Unclassified,0
3110,Age unknown,Full-time,All,2017/18,First class honours,0
3111,Age unknown,Full-time,All,2017/18,Upper second class honours,0
3112,Age unknown,Full-time,All,2017/18,Lower second class honours,0
3113,Age unknown,Full-time,All,2017/18,Third class honours/Pass,0
3114,Age unknown,Full-time,All,2017/18,Unclassified,0
3115,Age unknown,Full-time,All,2018/19,First class honours,0
3116,Age unknown,Full-time,All,2018/19,Upper second class honours,0
3117,Age unknown,Full-time,All,2018/19,Lower second class honours,0
3118,Age unknown,Full-time,All,2018/19,Third class honours/Pass,0
3119,Age unknown,Full-time,All,2018/19,Unclassified,0
3120,Age unknown,Full-time,All,2019/20,First class honours,0
3121,Age unknown,Full-time,All,2019/20,Upper second class honours,0
3122,Age unknown,Full-time,All,2019/20,Lower second class honours,0
3123,Age unknown,Full-time,All,2019/20,Third class honours/Pass,0
3124,Age unknown,Full-time,All,2019/20,Unclassified,0
3125,Age unknown,Part-time,All,2014/15,First class honours,0
3126,Age unknown,Part-time,All,2014/15,Upper second class honours,0
3127,Age unknown,Part-time,All,2014/15,Lower second class honours,0
3128,Age unknown,Part-time,All,2014/15,Third class honours/Pass,0
3129,Age unknown,Part-time,All,2014/15,Unclassified,0
