,Total,Mode of study,Country of HE provider,Academic year,Classification of first degree,Number
6840,Total,Full-time,Northern Ireland,2015/16,First class honours,1795
6841,Total,Full-time,Northern Ireland,2015/16,Upper second class honours,4115
6842,Total,Full-time,Northern Ireland,2015/16,Lower second class honours,1615
6843,Total,Full-time,Northern Ireland,2015/16,Third class honours/Pass,205
6844,Total,Full-time,Northern Ireland,2015/16,Unclassified,250
6845,Total,Full-time,Scotland,2015/16,First class honours,4910
6846,Total,Full-time,Scotland,2015/16,Upper second class honours,11340
6847,Total,Full-time,Scotland,2015/16,Lower second class honours,3720
6848,Total,Full-time,Scotland,2015/16,Third class honours/Pass,595
6849,Total,Full-time,Scotland,2015/16,Unclassified,7365
6850,Total,Full-time,Wales,2015/16,First class honours,3715
6851,Total,Full-time,Wales,2015/16,Upper second class honours,8185
6852,Total,Full-time,Wales,2015/16,Lower second class honours,3715
6853,Total,Full-time,Wales,2015/16,Third class honours/Pass,575
6854,Total,Full-time,Wales,2015/16,Unclassified,440
6855,Total,Part-time,All,2015/16,First class honours,5100
6856,Total,Part-time,All,2015/16,Upper second class honours,10190
6857,Total,Part-time,All,2015/16,Lower second class honours,7965
6858,Total,Part-time,All,2015/16,Third class honours/Pass,4510
6859,Total,Part-time,All,2015/16,Unclassified,3520
6860,Total,Part-time,England,2015/16,First class honours,4500
6861,Total,Part-time,England,2015/16,Upper second class honours,8985
6862,Total,Part-time,England,2015/16,Lower second class honours,7190
6863,Total,Part-time,England,2015/16,Third class honours/Pass,4160
6864,Total,Part-time,England,2015/16,Unclassified,1900
6865,Total,Part-time,Northern Ireland,2015/16,First class honours,130
6866,Total,Part-time,Northern Ireland,2015/16,Upper second class honours,360
6867,Total,Part-time,Northern Ireland,2015/16,Lower second class honours,205
6868,Total,Part-time,Northern Ireland,2015/16,Third class honours/Pass,75
6869,Total,Part-time,Northern Ireland,2015/16,Unclassified,35
6870,Total,Part-time,Scotland,2015/16,First class honours,200
6871,Total,Part-time,Scotland,2015/16,Upper second class honours,450
6872,Total,Part-time,Scotland,2015/16,Lower second class honours,335
6873,Total,Part-time,Scotland,2015/16,Third class honours/Pass,150
6874,Total,Part-time,Scotland,2015/16,Unclassified,1495
6875,Total,Part-time,Wales,2015/16,First class honours,265
6876,Total,Part-time,Wales,2015/16,Upper second class honours,390
6877,Total,Part-time,Wales,2015/16,Lower second class honours,235
6878,Total,Part-time,Wales,2015/16,Third class honours/Pass,125
6879,Total,Part-time,Wales,2015/16,Unclassified,90
6880,Total,All,All,2016/17,First class honours,86190
6881,Total,All,All,2016/17,Upper second class honours,163945
6882,Total,All,All,2016/17,Lower second class honours,64100
6883,Total,All,All,2016/17,Third class honours/Pass,15440
6884,Total,All,All,2016/17,Unclassified,19865
6885,Total,All,England,2016/17,First class honours,74165
6886,Total,All,England,2016/17,Upper second class honours,138240
6887,Total,All,England,2016/17,Lower second class honours,54305
6888,Total,All,England,2016/17,Third class honours/Pass,13665
6889,Total,All,England,2016/17,Unclassified,10220
6890,Total,All,Northern Ireland,2016/17,First class honours,2025
6891,Total,All,Northern Ireland,2016/17,Upper second class honours,4685
6892,Total,All,Northern Ireland,2016/17,Lower second class honours,1790
6893,Total,All,Northern Ireland,2016/17,Third class honours/Pass,235
6894,Total,All,Northern Ireland,2016/17,Unclassified,270
6895,Total,All,Scotland,2016/17,First class honours,5365
6896,Total,All,Scotland,2016/17,Upper second class honours,12120
6897,Total,All,Scotland,2016/17,Lower second class honours,4090
6898,Total,All,Scotland,2016/17,Third class honours/Pass,790
6899,Total,All,Scotland,2016/17,Unclassified,8800
6900,Total,All,Wales,2016/17,First class honours,4640
6901,Total,All,Wales,2016/17,Upper second class honours,8905
6902,Total,All,Wales,2016/17,Lower second class honours,3915
6903,Total,All,Wales,2016/17,Third class honours/Pass,755
6904,Total,All,Wales,2016/17,Unclassified,575
6905,Total,Full-time,All,2016/17,First class honours,80815
6906,Total,Full-time,All,2016/17,Upper second class honours,153935
6907,Total,Full-time,All,2016/17,Lower second class honours,56270
6908,Total,Full-time,All,2016/17,Third class honours/Pass,11005
6909,Total,Full-time,All,2016/17,Unclassified,16810
6910,Total,Full-time,England,2016/17,First class honours,69410
6911,Total,Full-time,England,2016/17,Upper second class honours,129510
6912,Total,Full-time,England,2016/17,Lower second class honours,47345
6913,Total,Full-time,England,2016/17,Third class honours/Pass,9585
6914,Total,Full-time,England,2016/17,Unclassified,8620
6915,Total,Full-time,Northern Ireland,2016/17,First class honours,1885
6916,Total,Full-time,Northern Ireland,2016/17,Upper second class honours,4310
6917,Total,Full-time,Northern Ireland,2016/17,Lower second class honours,1580
6918,Total,Full-time,Northern Ireland,2016/17,Third class honours/Pass,165
6919,Total,Full-time,Northern Ireland,2016/17,Unclassified,245
6920,Total,Full-time,Scotland,2016/17,First class honours,5145
6921,Total,Full-time,Scotland,2016/17,Upper second class honours,11630
6922,Total,Full-time,Scotland,2016/17,Lower second class honours,3705
6923,Total,Full-time,Scotland,2016/17,Third class honours/Pass,625
6924,Total,Full-time,Scotland,2016/17,Unclassified,7455
6925,Total,Full-time,Wales,2016/17,First class honours,4380
6926,Total,Full-time,Wales,2016/17,Upper second class honours,8485
6927,Total,Full-time,Wales,2016/17,Lower second class honours,3640
6928,Total,Full-time,Wales,2016/17,Third class honours/Pass,630
6929,Total,Full-time,Wales,2016/17,Unclassified,495
6930,Total,Part-time,All,2016/17,First class honours,5375
6931,Total,Part-time,All,2016/17,Upper second class honours,10010
6932,Total,Part-time,All,2016/17,Lower second class honours,7825
6933,Total,Part-time,All,2016/17,Third class honours/Pass,4435
6934,Total,Part-time,All,2016/17,Unclassified,3055
6935,Total,Part-time,England,2016/17,First class honours,4755
6936,Total,Part-time,England,2016/17,Upper second class honours,8730
6937,Total,Part-time,England,2016/17,Lower second class honours,6965
6938,Total,Part-time,England,2016/17,Third class honours/Pass,4080
6939,Total,Part-time,England,2016/17,Unclassified,1605
6940,Total,Part-time,Northern Ireland,2016/17,First class honours,140
6941,Total,Part-time,Northern Ireland,2016/17,Upper second class honours,370
6942,Total,Part-time,Northern Ireland,2016/17,Lower second class honours,210
6943,Total,Part-time,Northern Ireland,2016/17,Third class honours/Pass,70
6944,Total,Part-time,Northern Ireland,2016/17,Unclassified,30
6945,Total,Part-time,Scotland,2016/17,First class honours,220
6946,Total,Part-time,Scotland,2016/17,Upper second class honours,490
6947,Total,Part-time,Scotland,2016/17,Lower second class honours,380
6948,Total,Part-time,Scotland,2016/17,Third class honours/Pass,165
6949,Total,Part-time,Scotland,2016/17,Unclassified,1345
6950,Total,Part-time,Wales,2016/17,First class honours,260
6951,Total,Part-time,Wales,2016/17,Upper second class honours,420
6952,Total,Part-time,Wales,2016/17,Lower second class honours,275
6953,Total,Part-time,Wales,2016/17,Third class honours/Pass,125
6954,Total,Part-time,Wales,2016/17,Unclassified,80
6955,Total,All,All,2017/18,First class honours,93600
6956,Total,All,All,2017/18,Upper second class honours,162540
6957,Total,All,All,2017/18,Lower second class honours,61250
6958,Total,All,All,2017/18,Third class honours/Pass,14685
6959,Total,All,All,2017/18,Unclassified,19415
6960,Total,All,England,2017/18,First class honours,80615
6961,Total,All,England,2017/18,Upper second class honours,137250
6962,Total,All,England,2017/18,Lower second class honours,52295
6963,Total,All,England,2017/18,Third class honours/Pass,13070
6964,Total,All,England,2017/18,Unclassified,9950
6965,Total,All,Northern Ireland,2017/18,First class honours,2285
6966,Total,All,Northern Ireland,2017/18,Upper second class honours,4250
6967,Total,All,Northern Ireland,2017/18,Lower second class honours,1515
6968,Total,All,Northern Ireland,2017/18,Third class honours/Pass,210
6969,Total,All,Northern Ireland,2017/18,Unclassified,240
6970,Total,All,Scotland,2017/18,First class honours,5740
6971,Total,All,Scotland,2017/18,Upper second class honours,12385
6972,Total,All,Scotland,2017/18,Lower second class honours,3890
6973,Total,All,Scotland,2017/18,Third class honours/Pass,760
6974,Total,All,Scotland,2017/18,Unclassified,8700
6975,Total,All,Wales,2017/18,First class honours,4960
6976,Total,All,Wales,2017/18,Upper second class honours,8655
6977,Total,All,Wales,2017/18,Lower second class honours,3550
6978,Total,All,Wales,2017/18,Third class honours/Pass,650
6979,Total,All,Wales,2017/18,Unclassified,525
6980,Total,Full-time,All,2017/18,First class honours,88650
6981,Total,Full-time,All,2017/18,Upper second class honours,154310
6982,Total,Full-time,All,2017/18,Lower second class honours,54520
6983,Total,Full-time,All,2017/18,Third class honours/Pass,10595
6984,Total,Full-time,All,2017/18,Unclassified,16795
6985,Total,Full-time,England,2017/18,First class honours,76315
6986,Total,Full-time,England,2017/18,Upper second class honours,130075
6987,Total,Full-time,England,2017/18,Lower second class honours,46350
6988,Total,Full-time,England,2017/18,Third class honours/Pass,9360
6989,Total,Full-time,England,2017/18,Unclassified,8685
6990,Total,Full-time,Northern Ireland,2017/18,First class honours,2115
