,Sex,Mode of study,Country of HE provider,Academic year,Classification of first degree,Number
989,Other,Part-time,Scotland,2017/18,Unclassified,0
990,Other,Full-time,Wales,2017/18,First class honours,5
991,Other,Full-time,Wales,2017/18,Upper second class honours,10
992,Other,Full-time,Wales,2017/18,Lower second class honours,0
993,Other,Full-time,Wales,2017/18,Third class honours/Pass,0
994,Other,Full-time,Wales,2017/18,Unclassified,0
995,Other,Full-time,England,2018/19,First class honours,50
996,Other,Full-time,England,2018/19,Upper second class honours,70
997,Other,Full-time,England,2018/19,Lower second class honours,20
998,Other,Full-time,England,2018/19,Third class honours/Pass,10
999,Other,Full-time,England,2018/19,Unclassified,0
1000,Other,Part-time,England,2018/19,First class honours,5
1001,Other,Part-time,England,2018/19,Upper second class honours,5
1002,Other,Part-time,England,2018/19,Lower second class honours,0
1003,Other,Part-time,England,2018/19,Third class honours/Pass,0
1004,Other,Part-time,England,2018/19,Unclassified,0
1005,Other,Full-time,Scotland,2018/19,First class honours,15
1006,Other,Full-time,Scotland,2018/19,Upper second class honours,15
1007,Other,Full-time,Scotland,2018/19,Lower second class honours,10
1008,Other,Full-time,Scotland,2018/19,Third class honours/Pass,0
1009,Other,Full-time,Scotland,2018/19,Unclassified,5
1010,Other,Part-time,Scotland,2018/19,First class honours,0
1011,Other,Part-time,Scotland,2018/19,Upper second class honours,0
1012,Other,Part-time,Scotland,2018/19,Lower second class honours,0
1013,Other,Part-time,Scotland,2018/19,Third class honours/Pass,0
1014,Other,Part-time,Scotland,2018/19,Unclassified,0
1015,Other,Full-time,Wales,2018/19,First class honours,5
1016,Other,Full-time,Wales,2018/19,Upper second class honours,5
1017,Other,Full-time,Wales,2018/19,Lower second class honours,5
1018,Other,Full-time,Wales,2018/19,Third class honours/Pass,0
1019,Other,Full-time,Wales,2018/19,Unclassified,0
1020,Other,Part-time,Wales,2018/19,First class honours,0
1021,Other,Part-time,Wales,2018/19,Upper second class honours,0
1022,Other,Part-time,Wales,2018/19,Lower second class honours,0
1023,Other,Part-time,Wales,2018/19,Third class honours/Pass,0
1024,Other,Part-time,Wales,2018/19,Unclassified,0
1025,Other,Full-time,England,2019/20,First class honours,95
1026,Other,Full-time,England,2019/20,Upper second class honours,95
1027,Other,Full-time,England,2019/20,Lower second class honours,30
1028,Other,Full-time,England,2019/20,Third class honours/Pass,0
1029,Other,Full-time,England,2019/20,Unclassified,5
1030,Other,Part-time,England,2019/20,First class honours,0
1031,Other,Part-time,England,2019/20,Upper second class honours,0
1032,Other,Part-time,England,2019/20,Lower second class honours,0
1033,Other,Part-time,England,2019/20,Third class honours/Pass,0
1034,Other,Part-time,England,2019/20,Unclassified,0
1035,Other,Full-time,Scotland,2019/20,First class honours,5
1036,Other,Full-time,Scotland,2019/20,Upper second class honours,15
1037,Other,Full-time,Scotland,2019/20,Lower second class honours,5
1038,Other,Full-time,Scotland,2019/20,Third class honours/Pass,5
1039,Other,Full-time,Scotland,2019/20,Unclassified,0
1040,Other,Part-time,Scotland,2019/20,First class honours,0
1041,Other,Part-time,Scotland,2019/20,Upper second class honours,0
1042,Other,Part-time,Scotland,2019/20,Lower second class honours,0
1043,Other,Part-time,Scotland,2019/20,Third class honours/Pass,0
1044,Other,Part-time,Scotland,2019/20,Unclassified,0
1045,Other,Full-time,Wales,2019/20,First class honours,10
1046,Other,Full-time,Wales,2019/20,Upper second class honours,10
1047,Other,Full-time,Wales,2019/20,Lower second class honours,5
1048,Other,Full-time,Wales,2019/20,Third class honours/Pass,0
1049,Other,Full-time,Wales,2019/20,Unclassified,0
1050,Other,All,England,2014/15,First class honours,10
1051,Other,All,England,2014/15,Upper second class honours,15
1052,Other,All,England,2014/15,Lower second class honours,5
1053,Other,All,England,2014/15,Third class honours/Pass,0
1054,Other,All,England,2014/15,Unclassified,0
1055,Other,All,Scotland,2014/15,First class honours,0
1056,Other,All,Scotland,2014/15,Upper second class honours,5
1057,Other,All,Scotland,2014/15,Lower second class honours,0
1058,Other,All,Scotland,2014/15,Third class honours/Pass,0
1059,Other,All,Scotland,2014/15,Unclassified,0
1060,Other,All,Wales,2014/15,First class honours,0
1061,Other,All,Wales,2014/15,Upper second class honours,0
1062,Other,All,Wales,2014/15,Lower second class honours,0
1063,Other,All,Wales,2014/15,Third class honours/Pass,0
1064,Other,All,Wales,2014/15,Unclassified,0
1065,Other,All,England,2015/16,First class honours,10
1066,Other,All,England,2015/16,Upper second class honours,25
1067,Other,All,England,2015/16,Lower second class honours,0
1068,Other,All,England,2015/16,Third class honours/Pass,5
1069,Other,All,England,2015/16,Unclassified,5
1070,Other,All,Scotland,2015/16,First class honours,0
1071,Other,All,Scotland,2015/16,Upper second class honours,5
1072,Other,All,Scotland,2015/16,Lower second class honours,5
1073,Other,All,Scotland,2015/16,Third class honours/Pass,0
1074,Other,All,Scotland,2015/16,Unclassified,0
1075,Other,All,Wales,2015/16,First class honours,5
1076,Other,All,Wales,2015/16,Upper second class honours,5
1077,Other,All,Wales,2015/16,Lower second class honours,5
1078,Other,All,Wales,2015/16,Third class honours/Pass,0
1079,Other,All,Wales,2015/16,Unclassified,0
1080,Other,All,England,2016/17,First class honours,25
1081,Other,All,England,2016/17,Upper second class honours,30
1082,Other,All,England,2016/17,Lower second class honours,5
1083,Other,All,England,2016/17,Third class honours/Pass,0
1084,Other,All,England,2016/17,Unclassified,0
1085,Other,All,Scotland,2016/17,First class honours,5
1086,Other,All,Scotland,2016/17,Upper second class honours,5
1087,Other,All,Scotland,2016/17,Lower second class honours,0
1088,Other,All,Scotland,2016/17,Third class honours/Pass,0
1089,Other,All,Scotland,2016/17,Unclassified,5
1090,Other,All,Wales,2016/17,First class honours,0
1091,Other,All,Wales,2016/17,Upper second class honours,5
1092,Other,All,Wales,2016/17,Lower second class honours,0
1093,Other,All,Wales,2016/17,Third class honours/Pass,0
1094,Other,All,Wales,2016/17,Unclassified,0
1095,Other,All,England,2017/18,First class honours,40
1096,Other,All,England,2017/18,Upper second class honours,50
1097,Other,All,England,2017/18,Lower second class honours,20
1098,Other,All,England,2017/18,Third class honours/Pass,5
1099,Other,All,England,2017/18,Unclassified,0
1100,Other,All,Scotland,2017/18,First class honours,5
1101,Other,All,Scotland,2017/18,Upper second class honours,10
1102,Other,All,Scotland,2017/18,Lower second class honours,0
1103,Other,All,Scotland,2017/18,Third class honours/Pass,0
1104,Other,All,Scotland,2017/18,Unclassified,5
1105,Other,All,Wales,2017/18,First class honours,5
1106,Other,All,Wales,2017/18,Upper second class honours,10
1107,Other,All,Wales,2017/18,Lower second class honours,0
1108,Other,All,Wales,2017/18,Third class honours/Pass,0
1109,Other,All,Wales,2017/18,Unclassified,0
1110,Other,All,England,2018/19,First class honours,50
1111,Other,All,England,2018/19,Upper second class honours,75
1112,Other,All,England,2018/19,Lower second class honours,25
1113,Other,All,England,2018/19,Third class honours/Pass,10
1114,Other,All,England,2018/19,Unclassified,0
1115,Other,All,Scotland,2018/19,First class honours,15
1116,Other,All,Scotland,2018/19,Upper second class honours,15
1117,Other,All,Scotland,2018/19,Lower second class honours,10
1118,Other,All,Scotland,2018/19,Third class honours/Pass,0
1119,Other,All,Scotland,2018/19,Unclassified,5
1120,Other,All,Wales,2018/19,First class honours,5
1121,Other,All,Wales,2018/19,Upper second class honours,5
1122,Other,All,Wales,2018/19,Lower second class honours,5
1123,Other,All,Wales,2018/19,Third class honours/Pass,0
1124,Other,All,Wales,2018/19,Unclassified,0
1125,Other,All,England,2019/20,First class honours,100
1126,Other,All,England,2019/20,Upper second class honours,95
1127,Other,All,England,2019/20,Lower second class honours,35
1128,Other,All,England,2019/20,Third class honours/Pass,0
1129,Other,All,England,2019/20,Unclassified,5
1130,Other,All,Scotland,2019/20,First class honours,5
1131,Other,All,Scotland,2019/20,Upper second class honours,15
1132,Other,All,Scotland,2019/20,Lower second class honours,5
1133,Other,All,Scotland,2019/20,Third class honours/Pass,5
1134,Other,All,Scotland,2019/20,Unclassified,5
1135,Other,All,Wales,2019/20,First class honours,10
1136,Other,All,Wales,2019/20,Upper second class honours,10
1137,Other,All,Wales,2019/20,Lower second class honours,5
1138,Other,All,Wales,2019/20,Third class honours/Pass,0
1139,Other,All,Wales,2019/20,Unclassified,0
1140,Other,All,All,2014/15,First class honours,10
1141,Other,All,All,2014/15,Upper second class honours,20
1142,Other,All,All,2014/15,Lower second class honours,5
1143,Other,All,All,2014/15,Third class honours/Pass,0
1144,Other,All,All,2014/15,Unclassified,0
1145,Other,All,All,2015/16,First class honours,15
1146,Other,All,All,2015/16,Upper second class honours,35
1147,Other,All,All,2015/16,Lower second class honours,10
1148,Other,All,All,2015/16,Third class honours/Pass,5
1149,Other,All,All,2015/16,Unclassified,5
1150,Other,All,All,2016/17,First class honours,25
1151,Other,All,All,2016/17,Upper second class honours,40
1152,Other,All,All,2016/17,Lower second class honours,10
1153,Other,All,All,2016/17,Third class honours/Pass,0
1154,Other,All,All,2016/17,Unclassified,5
1155,Other,All,All,2017/18,First class honours,50
1156,Other,All,All,2017/18,Upper second class honours,70
1157,Other,All,All,2017/18,Lower second class honours,25
1158,Other,All,All,2017/18,Third class honours/Pass,5
1159,Other,All,All,2017/18,Unclassified,5
1160,Other,All,All,2018/19,First class honours,75
1161,Other,All,All,2018/19,Upper second class honours,95
1162,Other,All,All,2018/19,Lower second class honours,40
1163,Other,All,All,2018/19,Third class honours/Pass,10
1164,Other,All,All,2018/19,Unclassified,10
1165,Other,All,All,2019/20,First class honours,115
1166,Other,All,All,2019/20,Upper second class honours,120
1167,Other,All,All,2019/20,Lower second class honours,45
1168,Other,All,All,2019/20,Third class honours/Pass,10
1169,Other,All,All,2019/20,Unclassified,10
1170,Other,Full-time,All,2014/15,First class honours,10
1171,Other,Full-time,All,2014/15,Upper second class honours,20
1172,Other,Full-time,All,2014/15,Lower second class honours,5
1173,Other,Full-time,All,2014/15,Third class honours/Pass,0
1174,Other,Full-time,All,2014/15,Unclassified,0
1175,Other,Full-time,All,2015/16,First class honours,15
1176,Other,Full-time,All,2015/16,Upper second class honours,35
1177,Other,Full-time,All,2015/16,Lower second class honours,10
1178,Other,Full-time,All,2015/16,Third class honours/Pass,5
1179,Other,Full-time,All,2015/16,Unclassified,5
1180,Other,Full-time,All,2016/17,First class honours,25
1181,Other,Full-time,All,2016/17,Upper second class honours,35
1182,Other,Full-time,All,2016/17,Lower second class honours,10
1183,Other,Full-time,All,2016/17,Third class honours/Pass,0
1184,Other,Full-time,All,2016/17,Unclassified,5
1185,Other,Full-time,All,2017/18,First class honours,45
1186,Other,Full-time,All,2017/18,Upper second class honours,70
1187,Other,Full-time,All,2017/18,Lower second class honours,25
1188,Other,Full-time,All,2017/18,Third class honours/Pass,5
1189,Other,Full-time,All,2017/18,Unclassified,5
1190,Other,Full-time,All,2018/19,First class honours,70
1191,Other,Full-time,All,2018/19,Upper second class honours,90
1192,Other,Full-time,All,2018/19,Lower second class honours,35
1193,Other,Full-time,All,2018/19,Third class honours/Pass,10
1194,Other,Full-time,All,2018/19,Unclassified,10
1195,Other,Full-time,All,2019/20,First class honours,115
1196,Other,Full-time,All,2019/20,Upper second class honours,115
1197,Other,Full-time,All,2019/20,Lower second class honours,45
1198,Other,Full-time,All,2019/20,Third class honours/Pass,5
1199,Other,Full-time,All,2019/20,Unclassified,10
1200,Other,Part-time,All,2014/15,First class honours,0
1201,Other,Part-time,All,2014/15,Upper second class honours,0
1202,Other,Part-time,All,2014/15,Lower second class honours,0
1203,Other,Part-time,All,2014/15,Third class honours/Pass,0
1204,Other,Part-time,All,2014/15,Unclassified,0
1205,Other,Part-time,All,2015/16,First class honours,0
1206,Other,Part-time,All,2015/16,Upper second class honours,0
1207,Other,Part-time,All,2015/16,Lower second class honours,0
1208,Other,Part-time,All,2015/16,Third class honours/Pass,0
1209,Other,Part-time,All,2015/16,Unclassified,0
1210,Other,Part-time,All,2016/17,First class honours,0
1211,Other,Part-time,All,2016/17,Upper second class honours,0
1212,Other,Part-time,All,2016/17,Lower second class honours,0
1213,Other,Part-time,All,2016/17,Third class honours/Pass,0
1214,Other,Part-time,All,2016/17,Unclassified,0
1215,Other,Part-time,All,2017/18,First class honours,0
1216,Other,Part-time,All,2017/18,Upper second class honours,0
1217,Other,Part-time,All,2017/18,Lower second class honours,0
1218,Other,Part-time,All,2017/18,Third class honours/Pass,0
1219,Other,Part-time,All,2017/18,Unclassified,0
1220,Other,Part-time,All,2018/19,First class honours,5
1221,Other,Part-time,All,2018/19,Upper second class honours,5
1222,Other,Part-time,All,2018/19,Lower second class honours,0
1223,Other,Part-time,All,2018/19,Third class honours/Pass,0
1224,Other,Part-time,All,2018/19,Unclassified,0
1225,Other,Part-time,All,2019/20,First class honours,0
1226,Other,Part-time,All,2019/20,Upper second class honours,0
1227,Other,Part-time,All,2019/20,Lower second class honours,0
1228,Other,Part-time,All,2019/20,Third class honours/Pass,0
1229,Other,Part-time,All,2019/20,Unclassified,0
7180,Not known,Full-time,England,2015/16,First class honours,10
7181,Not known,Full-time,England,2015/16,Upper second class honours,20
7182,Not known,Full-time,England,2015/16,Lower second class honours,5
7183,Not known,Full-time,England,2015/16,Third class honours/Pass,5
7184,Not known,Full-time,England,2015/16,Unclassified,0
7185,Not known,Full-time,England,2016/17,First class honours,5
7186,Not known,Full-time,England,2016/17,Upper second class honours,15
7187,Not known,Full-time,England,2016/17,Lower second class honours,0
7188,Not known,Full-time,England,2016/17,Third class honours/Pass,0
7189,Not known,Full-time,England,2016/17,Unclassified,0
7190,Not known,Full-time,England,2017/18,First class honours,5
7191,Not known,Full-time,England,2017/18,Upper second class honours,5
7192,Not known,Full-time,England,2017/18,Lower second class honours,5
7193,Not known,Full-time,England,2017/18,Third class honours/Pass,5
7194,Not known,Full-time,England,2017/18,Unclassified,0
7195,Not known,Full-time,England,2018/19,First class honours,0
7196,Not known,Full-time,England,2018/19,Upper second class honours,0
7197,Not known,Full-time,England,2018/19,Lower second class honours,0
7198,Not known,Full-time,England,2018/19,Third class honours/Pass,0
7199,Not known,Full-time,England,2018/19,Unclassified,0
7200,Not known,All,England,2015/16,First class honours,10
7201,Not known,All,England,2015/16,Upper second class honours,20
7202,Not known,All,England,2015/16,Lower second class honours,5
7203,Not known,All,England,2015/16,Third class honours/Pass,5
7204,Not known,All,England,2015/16,Unclassified,0
7205,Not known,All,England,2016/17,First class honours,5
7206,Not known,All,England,2016/17,Upper second class honours,15
7207,Not known,All,England,2016/17,Lower second class honours,0
7208,Not known,All,England,2016/17,Third class honours/Pass,0
7209,Not known,All,England,2016/17,Unclassified,0
7210,Not known,All,England,2017/18,First class honours,5
7211,Not known,All,England,2017/18,Upper second class honours,5
7212,Not known,All,England,2017/18,Lower second class honours,5
7213,Not known,All,England,2017/18,Third class honours/Pass,5
7214,Not known,All,England,2017/18,Unclassified,0
7215,Not known,All,England,2018/19,First class honours,0
7216,Not known,All,England,2018/19,Upper second class honours,0
7217,Not known,All,England,2018/19,Lower second class honours,0
7218,Not known,All,England,2018/19,Third class honours/Pass,0
7219,Not known,All,England,2018/19,Unclassified,0
7220,Not known,All,All,2015/16,First class honours,10
7221,Not known,All,All,2015/16,Upper second class honours,20
7222,Not known,All,All,2015/16,Lower second class honours,5
7223,Not known,All,All,2015/16,Third class honours/Pass,5
7224,Not known,All,All,2015/16,Unclassified,0
7225,Not known,All,All,2016/17,First class honours,5
7226,Not known,All,All,2016/17,Upper second class honours,15
7227,Not known,All,All,2016/17,Lower second class honours,0
7228,Not known,All,All,2016/17,Third class honours/Pass,0
7229,Not known,All,All,2016/17,Unclassified,0
7230,Not known,All,All,2017/18,First class honours,5
7231,Not known,All,All,2017/18,Upper second class honours,5
7232,Not known,All,All,2017/18,Lower second class honours,5
7233,Not known,All,All,2017/18,Third class honours/Pass,5
7234,Not known,All,All,2017/18,Unclassified,0
7235,Not known,All,All,2018/19,First class honours,0
7236,Not known,All,All,2018/19,Upper second class honours,0
7237,Not known,All,All,2018/19,Lower second class honours,0
7238,Not known,All,All,2018/19,Third class honours/Pass,0
7239,Not known,All,All,2018/19,Unclassified,0
7240,Not known,Full-time,All,2015/16,First class honours,10
7241,Not known,Full-time,All,2015/16,Upper second class honours,20
7242,Not known,Full-time,All,2015/16,Lower second class honours,5
7243,Not known,Full-time,All,2015/16,Third class honours/Pass,5
7244,Not known,Full-time,All,2015/16,Unclassified,0
7245,Not known,Full-time,All,2016/17,First class honours,5
7246,Not known,Full-time,All,2016/17,Upper second class honours,15
7247,Not known,Full-time,All,2016/17,Lower second class honours,0
7248,Not known,Full-time,All,2016/17,Third class honours/Pass,0
7249,Not known,Full-time,All,2016/17,Unclassified,0
7250,Not known,Full-time,All,2017/18,First class honours,5
7251,Not known,Full-time,All,2017/18,Upper second class honours,5
7252,Not known,Full-time,All,2017/18,Lower second class honours,5
7253,Not known,Full-time,All,2017/18,Third class honours/Pass,5
7254,Not known,Full-time,All,2017/18,Unclassified,0
7255,Not known,Full-time,All,2018/19,First class honours,0
7256,Not known,Full-time,All,2018/19,Upper second class honours,0
7257,Not known,Full-time,All,2018/19,Lower second class honours,0
7258,Not known,Full-time,All,2018/19,Third class honours/Pass,0
7259,Not known,Full-time,All,2018/19,Unclassified,0
