,Disability Status,Mode of study,Country of HE provider,Academic year,Classification of first degree,Number
4002,No known disability,Part-time,All,2014/15,Lower second class honours,7560
4003,No known disability,Part-time,All,2014/15,Third class honours/Pass,4010
4004,No known disability,Part-time,All,2014/15,Unclassified,3675
4005,No known disability,Part-time,All,2015/16,First class honours,4520
4006,No known disability,Part-time,All,2015/16,Upper second class honours,8820
4007,No known disability,Part-time,All,2015/16,Lower second class honours,6780
4008,No known disability,Part-time,All,2015/16,Third class honours/Pass,3845
4009,No known disability,Part-time,All,2015/16,Unclassified,3060
4010,No known disability,Part-time,All,2016/17,First class honours,4715
4011,No known disability,Part-time,All,2016/17,Upper second class honours,8520
4012,No known disability,Part-time,All,2016/17,Lower second class honours,6540
4013,No known disability,Part-time,All,2016/17,Third class honours/Pass,3690
4014,No known disability,Part-time,All,2016/17,Unclassified,2600
4015,No known disability,Part-time,All,2017/18,First class honours,4300
4016,No known disability,Part-time,All,2017/18,Upper second class honours,6900
4017,No known disability,Part-time,All,2017/18,Lower second class honours,5555
4018,No known disability,Part-time,All,2017/18,Third class honours/Pass,3370
4019,No known disability,Part-time,All,2017/18,Unclassified,2290
4020,No known disability,Part-time,All,2018/19,First class honours,4540
4021,No known disability,Part-time,All,2018/19,Upper second class honours,7285
4022,No known disability,Part-time,All,2018/19,Lower second class honours,5050
4023,No known disability,Part-time,All,2018/19,Third class honours/Pass,2975
4024,No known disability,Part-time,All,2018/19,Unclassified,2145
4025,No known disability,Part-time,All,2019/20,First class honours,3930
4026,No known disability,Part-time,All,2019/20,Upper second class honours,4935
4027,No known disability,Part-time,All,2019/20,Lower second class honours,3535
4028,No known disability,Part-time,All,2019/20,Third class honours/Pass,1900
4029,No known disability,Part-time,All,2019/20,Unclassified,1585
