,Category marker,Category,Mode of study,Country of HE provider,Academic year,Classification of first degree,Number
958,Sex,Other,Part-time,Scotland,2016/17,Third class honours/Pass,0
959,Sex,Other,Part-time,Scotland,2016/17,Unclassified,0
960,Sex,Other,Full-time,Wales,2016/17,First class honours,0
961,Sex,Other,Full-time,Wales,2016/17,Upper second class honours,5
962,Sex,Other,Full-time,Wales,2016/17,Lower second class honours,0
963,Sex,Other,Full-time,Wales,2016/17,Third class honours/Pass,0
964,Sex,Other,Full-time,Wales,2016/17,Unclassified,0
965,Sex,Other,Part-time,Wales,2016/17,First class honours,0
966,Sex,Other,Part-time,Wales,2016/17,Upper second class honours,0
967,Sex,Other,Part-time,Wales,2016/17,Lower second class honours,0
968,Sex,Other,Part-time,Wales,2016/17,Third class honours/Pass,0
969,Sex,Other,Part-time,Wales,2016/17,Unclassified,0
970,Sex,Other,Full-time,England,2017/18,First class honours,35
971,Sex,Other,Full-time,England,2017/18,Upper second class honours,50
972,Sex,Other,Full-time,England,2017/18,Lower second class honours,20
973,Sex,Other,Full-time,England,2017/18,Third class honours/Pass,5
974,Sex,Other,Full-time,England,2017/18,Unclassified,0
975,Sex,Other,Part-time,England,2017/18,First class honours,0
976,Sex,Other,Part-time,England,2017/18,Upper second class honours,0
977,Sex,Other,Part-time,England,2017/18,Lower second class honours,0
978,Sex,Other,Part-time,England,2017/18,Third class honours/Pass,0
979,Sex,Other,Part-time,England,2017/18,Unclassified,0
980,Sex,Other,Full-time,Scotland,2017/18,First class honours,5
981,Sex,Other,Full-time,Scotland,2017/18,Upper second class honours,10
982,Sex,Other,Full-time,Scotland,2017/18,Lower second class honours,0
983,Sex,Other,Full-time,Scotland,2017/18,Third class honours/Pass,0
984,Sex,Other,Full-time,Scotland,2017/18,Unclassified,5
985,Sex,Other,Part-time,Scotland,2017/18,First class honours,0
986,Sex,Other,Part-time,Scotland,2017/18,Upper second class honours,0
987,Sex,Other,Part-time,Scotland,2017/18,Lower second class honours,0
988,Sex,Other,Part-time,Scotland,2017/18,Third class honours/Pass,0
989,Sex,Other,Part-time,Scotland,2017/18,Unclassified,0
990,Sex,Other,Full-time,Wales,2017/18,First class honours,5
991,Sex,Other,Full-time,Wales,2017/18,Upper second class honours,10
992,Sex,Other,Full-time,Wales,2017/18,Lower second class honours,0
993,Sex,Other,Full-time,Wales,2017/18,Third class honours/Pass,0
994,Sex,Other,Full-time,Wales,2017/18,Unclassified,0
995,Sex,Other,Full-time,England,2018/19,First class honours,50
996,Sex,Other,Full-time,England,2018/19,Upper second class honours,70
997,Sex,Other,Full-time,England,2018/19,Lower second class honours,20
998,Sex,Other,Full-time,England,2018/19,Third class honours/Pass,10
999,Sex,Other,Full-time,England,2018/19,Unclassified,0
1000,Sex,Other,Part-time,England,2018/19,First class honours,5
1001,Sex,Other,Part-time,England,2018/19,Upper second class honours,5
1002,Sex,Other,Part-time,England,2018/19,Lower second class honours,0
1003,Sex,Other,Part-time,England,2018/19,Third class honours/Pass,0
1004,Sex,Other,Part-time,England,2018/19,Unclassified,0
1005,Sex,Other,Full-time,Scotland,2018/19,First class honours,15
1006,Sex,Other,Full-time,Scotland,2018/19,Upper second class honours,15
1007,Sex,Other,Full-time,Scotland,2018/19,Lower second class honours,10
1008,Sex,Other,Full-time,Scotland,2018/19,Third class honours/Pass,0
1009,Sex,Other,Full-time,Scotland,2018/19,Unclassified,5
1010,Sex,Other,Part-time,Scotland,2018/19,First class honours,0
1011,Sex,Other,Part-time,Scotland,2018/19,Upper second class honours,0
1012,Sex,Other,Part-time,Scotland,2018/19,Lower second class honours,0
1013,Sex,Other,Part-time,Scotland,2018/19,Third class honours/Pass,0
1014,Sex,Other,Part-time,Scotland,2018/19,Unclassified,0
1015,Sex,Other,Full-time,Wales,2018/19,First class honours,5
1016,Sex,Other,Full-time,Wales,2018/19,Upper second class honours,5
1017,Sex,Other,Full-time,Wales,2018/19,Lower second class honours,5
1018,Sex,Other,Full-time,Wales,2018/19,Third class honours/Pass,0
1019,Sex,Other,Full-time,Wales,2018/19,Unclassified,0
1020,Sex,Other,Part-time,Wales,2018/19,First class honours,0
1021,Sex,Other,Part-time,Wales,2018/19,Upper second class honours,0
1022,Sex,Other,Part-time,Wales,2018/19,Lower second class honours,0
1023,Sex,Other,Part-time,Wales,2018/19,Third class honours/Pass,0
1024,Sex,Other,Part-time,Wales,2018/19,Unclassified,0
1025,Sex,Other,Full-time,England,2019/20,First class honours,95
1026,Sex,Other,Full-time,England,2019/20,Upper second class honours,95
1027,Sex,Other,Full-time,England,2019/20,Lower second class honours,30
1028,Sex,Other,Full-time,England,2019/20,Third class honours/Pass,0
1029,Sex,Other,Full-time,England,2019/20,Unclassified,5
1030,Sex,Other,Part-time,England,2019/20,First class honours,0
1031,Sex,Other,Part-time,England,2019/20,Upper second class honours,0
1032,Sex,Other,Part-time,England,2019/20,Lower second class honours,0
1033,Sex,Other,Part-time,England,2019/20,Third class honours/Pass,0
1034,Sex,Other,Part-time,England,2019/20,Unclassified,0
1035,Sex,Other,Full-time,Scotland,2019/20,First class honours,5
1036,Sex,Other,Full-time,Scotland,2019/20,Upper second class honours,15
1037,Sex,Other,Full-time,Scotland,2019/20,Lower second class honours,5
1038,Sex,Other,Full-time,Scotland,2019/20,Third class honours/Pass,5
1039,Sex,Other,Full-time,Scotland,2019/20,Unclassified,0
1040,Sex,Other,Part-time,Scotland,2019/20,First class honours,0
1041,Sex,Other,Part-time,Scotland,2019/20,Upper second class honours,0
1042,Sex,Other,Part-time,Scotland,2019/20,Lower second class honours,0
1043,Sex,Other,Part-time,Scotland,2019/20,Third class honours/Pass,0
1044,Sex,Other,Part-time,Scotland,2019/20,Unclassified,0
1045,Sex,Other,Full-time,Wales,2019/20,First class honours,10
1046,Sex,Other,Full-time,Wales,2019/20,Upper second class honours,10
1047,Sex,Other,Full-time,Wales,2019/20,Lower second class honours,5
1048,Sex,Other,Full-time,Wales,2019/20,Third class honours/Pass,0
1049,Sex,Other,Full-time,Wales,2019/20,Unclassified,0
1050,Sex,Other,All,England,2014/15,First class honours,10
1051,Sex,Other,All,England,2014/15,Upper second class honours,15
1052,Sex,Other,All,England,2014/15,Lower second class honours,5
1053,Sex,Other,All,England,2014/15,Third class honours/Pass,0
1054,Sex,Other,All,England,2014/15,Unclassified,0
1055,Sex,Other,All,Scotland,2014/15,First class honours,0
1056,Sex,Other,All,Scotland,2014/15,Upper second class honours,5
1057,Sex,Other,All,Scotland,2014/15,Lower second class honours,0
1058,Sex,Other,All,Scotland,2014/15,Third class honours/Pass,0
1059,Sex,Other,All,Scotland,2014/15,Unclassified,0
1060,Sex,Other,All,Wales,2014/15,First class honours,0
1061,Sex,Other,All,Wales,2014/15,Upper second class honours,0
1062,Sex,Other,All,Wales,2014/15,Lower second class honours,0
1063,Sex,Other,All,Wales,2014/15,Third class honours/Pass,0
1064,Sex,Other,All,Wales,2014/15,Unclassified,0
1065,Sex,Other,All,England,2015/16,First class honours,10
1066,Sex,Other,All,England,2015/16,Upper second class honours,25
1067,Sex,Other,All,England,2015/16,Lower second class honours,0
1068,Sex,Other,All,England,2015/16,Third class honours/Pass,5
1069,Sex,Other,All,England,2015/16,Unclassified,5
1070,Sex,Other,All,Scotland,2015/16,First class honours,0
1071,Sex,Other,All,Scotland,2015/16,Upper second class honours,5
1072,Sex,Other,All,Scotland,2015/16,Lower second class honours,5
1073,Sex,Other,All,Scotland,2015/16,Third class honours/Pass,0
1074,Sex,Other,All,Scotland,2015/16,Unclassified,0
1075,Sex,Other,All,Wales,2015/16,First class honours,5
1076,Sex,Other,All,Wales,2015/16,Upper second class honours,5
1077,Sex,Other,All,Wales,2015/16,Lower second class honours,5
1078,Sex,Other,All,Wales,2015/16,Third class honours/Pass,0
1079,Sex,Other,All,Wales,2015/16,Unclassified,0
1080,Sex,Other,All,England,2016/17,First class honours,25
1081,Sex,Other,All,England,2016/17,Upper second class honours,30
1082,Sex,Other,All,England,2016/17,Lower second class honours,5
1083,Sex,Other,All,England,2016/17,Third class honours/Pass,0
1084,Sex,Other,All,England,2016/17,Unclassified,0
1085,Sex,Other,All,Scotland,2016/17,First class honours,5
1086,Sex,Other,All,Scotland,2016/17,Upper second class honours,5
1087,Sex,Other,All,Scotland,2016/17,Lower second class honours,0
1088,Sex,Other,All,Scotland,2016/17,Third class honours/Pass,0
1089,Sex,Other,All,Scotland,2016/17,Unclassified,5
1090,Sex,Other,All,Wales,2016/17,First class honours,0
1091,Sex,Other,All,Wales,2016/17,Upper second class honours,5
1092,Sex,Other,All,Wales,2016/17,Lower second class honours,0
1093,Sex,Other,All,Wales,2016/17,Third class honours/Pass,0
1094,Sex,Other,All,Wales,2016/17,Unclassified,0
1095,Sex,Other,All,England,2017/18,First class honours,40
1096,Sex,Other,All,England,2017/18,Upper second class honours,50
1097,Sex,Other,All,England,2017/18,Lower second class honours,20
1098,Sex,Other,All,England,2017/18,Third class honours/Pass,5
1099,Sex,Other,All,England,2017/18,Unclassified,0
1100,Sex,Other,All,Scotland,2017/18,First class honours,5
1101,Sex,Other,All,Scotland,2017/18,Upper second class honours,10
1102,Sex,Other,All,Scotland,2017/18,Lower second class honours,0
1103,Sex,Other,All,Scotland,2017/18,Third class honours/Pass,0
1104,Sex,Other,All,Scotland,2017/18,Unclassified,5
1105,Sex,Other,All,Wales,2017/18,First class honours,5
1106,Sex,Other,All,Wales,2017/18,Upper second class honours,10
1107,Sex,Other,All,Wales,2017/18,Lower second class honours,0
1108,Sex,Other,All,Wales,2017/18,Third class honours/Pass,0
1109,Sex,Other,All,Wales,2017/18,Unclassified,0
1110,Sex,Other,All,England,2018/19,First class honours,50
1111,Sex,Other,All,England,2018/19,Upper second class honours,75
1112,Sex,Other,All,England,2018/19,Lower second class honours,25
1113,Sex,Other,All,England,2018/19,Third class honours/Pass,10
1114,Sex,Other,All,England,2018/19,Unclassified,0
1115,Sex,Other,All,Scotland,2018/19,First class honours,15
1116,Sex,Other,All,Scotland,2018/19,Upper second class honours,15
1117,Sex,Other,All,Scotland,2018/19,Lower second class honours,10
1118,Sex,Other,All,Scotland,2018/19,Third class honours/Pass,0
1119,Sex,Other,All,Scotland,2018/19,Unclassified,5
1120,Sex,Other,All,Wales,2018/19,First class honours,5
1121,Sex,Other,All,Wales,2018/19,Upper second class honours,5
1122,Sex,Other,All,Wales,2018/19,Lower second class honours,5
1123,Sex,Other,All,Wales,2018/19,Third class honours/Pass,0
1124,Sex,Other,All,Wales,2018/19,Unclassified,0
1125,Sex,Other,All,England,2019/20,First class honours,100
1126,Sex,Other,All,England,2019/20,Upper second class honours,95
1127,Sex,Other,All,England,2019/20,Lower second class honours,35
1128,Sex,Other,All,England,2019/20,Third class honours/Pass,0
1129,Sex,Other,All,England,2019/20,Unclassified,5
1130,Sex,Other,All,Scotland,2019/20,First class honours,5
1131,Sex,Other,All,Scotland,2019/20,Upper second class honours,15
1132,Sex,Other,All,Scotland,2019/20,Lower second class honours,5
1133,Sex,Other,All,Scotland,2019/20,Third class honours/Pass,5
1134,Sex,Other,All,Scotland,2019/20,Unclassified,5
1135,Sex,Other,All,Wales,2019/20,First class honours,10
1136,Sex,Other,All,Wales,2019/20,Upper second class honours,10
1137,Sex,Other,All,Wales,2019/20,Lower second class honours,5
1138,Sex,Other,All,Wales,2019/20,Third class honours/Pass,0
1139,Sex,Other,All,Wales,2019/20,Unclassified,0
1140,Sex,Other,All,All,2014/15,First class honours,10
1141,Sex,Other,All,All,2014/15,Upper second class honours,20
1142,Sex,Other,All,All,2014/15,Lower second class honours,5
1143,Sex,Other,All,All,2014/15,Third class honours/Pass,0
1144,Sex,Other,All,All,2014/15,Unclassified,0
1145,Sex,Other,All,All,2015/16,First class honours,15
1146,Sex,Other,All,All,2015/16,Upper second class honours,35
1147,Sex,Other,All,All,2015/16,Lower second class honours,10
1148,Sex,Other,All,All,2015/16,Third class honours/Pass,5
1149,Sex,Other,All,All,2015/16,Unclassified,5
1150,Sex,Other,All,All,2016/17,First class honours,25
1151,Sex,Other,All,All,2016/17,Upper second class honours,40
1152,Sex,Other,All,All,2016/17,Lower second class honours,10
1153,Sex,Other,All,All,2016/17,Third class honours/Pass,0
1154,Sex,Other,All,All,2016/17,Unclassified,5
1155,Sex,Other,All,All,2017/18,First class honours,50
1156,Sex,Other,All,All,2017/18,Upper second class honours,70
1157,Sex,Other,All,All,2017/18,Lower second class honours,25
1158,Sex,Other,All,All,2017/18,Third class honours/Pass,5
1159,Sex,Other,All,All,2017/18,Unclassified,5
1160,Sex,Other,All,All,2018/19,First class honours,75
1161,Sex,Other,All,All,2018/19,Upper second class honours,95
1162,Sex,Other,All,All,2018/19,Lower second class honours,40
1163,Sex,Other,All,All,2018/19,Third class honours/Pass,10
1164,Sex,Other,All,All,2018/19,Unclassified,10
1165,Sex,Other,All,All,2019/20,First class honours,115
1166,Sex,Other,All,All,2019/20,Upper second class honours,120
1167,Sex,Other,All,All,2019/20,Lower second class honours,45
1168,Sex,Other,All,All,2019/20,Third class honours/Pass,10
1169,Sex,Other,All,All,2019/20,Unclassified,10
1170,Sex,Other,Full-time,All,2014/15,First class honours,10
1171,Sex,Other,Full-time,All,2014/15,Upper second class honours,20
1172,Sex,Other,Full-time,All,2014/15,Lower second class honours,5
1173,Sex,Other,Full-time,All,2014/15,Third class honours/Pass,0
1174,Sex,Other,Full-time,All,2014/15,Unclassified,0
1175,Sex,Other,Full-time,All,2015/16,First class honours,15
1176,Sex,Other,Full-time,All,2015/16,Upper second class honours,35
1177,Sex,Other,Full-time,All,2015/16,Lower second class honours,10
1178,Sex,Other,Full-time,All,2015/16,Third class honours/Pass,5
1179,Sex,Other,Full-time,All,2015/16,Unclassified,5
1180,Sex,Other,Full-time,All,2016/17,First class honours,25
1181,Sex,Other,Full-time,All,2016/17,Upper second class honours,35
1182,Sex,Other,Full-time,All,2016/17,Lower second class honours,10
1183,Sex,Other,Full-time,All,2016/17,Third class honours/Pass,0
1184,Sex,Other,Full-time,All,2016/17,Unclassified,5
1185,Sex,Other,Full-time,All,2017/18,First class honours,45
1186,Sex,Other,Full-time,All,2017/18,Upper second class honours,70
1187,Sex,Other,Full-time,All,2017/18,Lower second class honours,25
1188,Sex,Other,Full-time,All,2017/18,Third class honours/Pass,5
1189,Sex,Other,Full-time,All,2017/18,Unclassified,5
1190,Sex,Other,Full-time,All,2018/19,First class honours,70
1191,Sex,Other,Full-time,All,2018/19,Upper second class honours,90
1192,Sex,Other,Full-time,All,2018/19,Lower second class honours,35
1193,Sex,Other,Full-time,All,2018/19,Third class honours/Pass,10
1194,Sex,Other,Full-time,All,2018/19,Unclassified,10
1195,Sex,Other,Full-time,All,2019/20,First class honours,115
1196,Sex,Other,Full-time,All,2019/20,Upper second class honours,115
1197,Sex,Other,Full-time,All,2019/20,Lower second class honours,45
1198,Sex,Other,Full-time,All,2019/20,Third class honours/Pass,5
1199,Sex,Other,Full-time,All,2019/20,Unclassified,10
1200,Sex,Other,Part-time,All,2014/15,First class honours,0
1201,Sex,Other,Part-time,All,2014/15,Upper second class honours,0
1202,Sex,Other,Part-time,All,2014/15,Lower second class honours,0
1203,Sex,Other,Part-time,All,2014/15,Third class honours/Pass,0
1204,Sex,Other,Part-time,All,2014/15,Unclassified,0
1205,Sex,Other,Part-time,All,2015/16,First class honours,0
1206,Sex,Other,Part-time,All,2015/16,Upper second class honours,0
1207,Sex,Other,Part-time,All,2015/16,Lower second class honours,0
1208,Sex,Other,Part-time,All,2015/16,Third class honours/Pass,0
1209,Sex,Other,Part-time,All,2015/16,Unclassified,0
1210,Sex,Other,Part-time,All,2016/17,First class honours,0
1211,Sex,Other,Part-time,All,2016/17,Upper second class honours,0
1212,Sex,Other,Part-time,All,2016/17,Lower second class honours,0
1213,Sex,Other,Part-time,All,2016/17,Third class honours/Pass,0
1214,Sex,Other,Part-time,All,2016/17,Unclassified,0
1215,Sex,Other,Part-time,All,2017/18,First class honours,0
1216,Sex,Other,Part-time,All,2017/18,Upper second class honours,0
1217,Sex,Other,Part-time,All,2017/18,Lower second class honours,0
1218,Sex,Other,Part-time,All,2017/18,Third class honours/Pass,0
1219,Sex,Other,Part-time,All,2017/18,Unclassified,0
1220,Sex,Other,Part-time,All,2018/19,First class honours,5
1221,Sex,Other,Part-time,All,2018/19,Upper second class honours,5
1222,Sex,Other,Part-time,All,2018/19,Lower second class honours,0
1223,Sex,Other,Part-time,All,2018/19,Third class honours/Pass,0
1224,Sex,Other,Part-time,All,2018/19,Unclassified,0
1225,Sex,Other,Part-time,All,2019/20,First class honours,0
1226,Sex,Other,Part-time,All,2019/20,Upper second class honours,0
1227,Sex,Other,Part-time,All,2019/20,Lower second class honours,0
1228,Sex,Other,Part-time,All,2019/20,Third class honours/Pass,0
1229,Sex,Other,Part-time,All,2019/20,Unclassified,0
7180,Sex,Not known,Full-time,England,2015/16,First class honours,10
7181,Sex,Not known,Full-time,England,2015/16,Upper second class honours,20
7182,Sex,Not known,Full-time,England,2015/16,Lower second class honours,5
7183,Sex,Not known,Full-time,England,2015/16,Third class honours/Pass,5
7184,Sex,Not known,Full-time,England,2015/16,Unclassified,0
7185,Sex,Not known,Full-time,England,2016/17,First class honours,5
7186,Sex,Not known,Full-time,England,2016/17,Upper second class honours,15
7187,Sex,Not known,Full-time,England,2016/17,Lower second class honours,0
7188,Sex,Not known,Full-time,England,2016/17,Third class honours/Pass,0
7189,Sex,Not known,Full-time,England,2016/17,Unclassified,0
7190,Sex,Not known,Full-time,England,2017/18,First class honours,5
7191,Sex,Not known,Full-time,England,2017/18,Upper second class honours,5
7192,Sex,Not known,Full-time,England,2017/18,Lower second class honours,5
7193,Sex,Not known,Full-time,England,2017/18,Third class honours/Pass,5
7194,Sex,Not known,Full-time,England,2017/18,Unclassified,0
7195,Sex,Not known,Full-time,England,2018/19,First class honours,0
7196,Sex,Not known,Full-time,England,2018/19,Upper second class honours,0
7197,Sex,Not known,Full-time,England,2018/19,Lower second class honours,0
7198,Sex,Not known,Full-time,England,2018/19,Third class honours/Pass,0
7199,Sex,Not known,Full-time,England,2018/19,Unclassified,0
7200,Sex,Not known,All,England,2015/16,First class honours,10
7201,Sex,Not known,All,England,2015/16,Upper second class honours,20
7202,Sex,Not known,All,England,2015/16,Lower second class honours,5
7203,Sex,Not known,All,England,2015/16,Third class honours/Pass,5
7204,Sex,Not known,All,England,2015/16,Unclassified,0
7205,Sex,Not known,All,England,2016/17,First class honours,5
7206,Sex,Not known,All,England,2016/17,Upper second class honours,15
7207,Sex,Not known,All,England,2016/17,Lower second class honours,0
7208,Sex,Not known,All,England,2016/17,Third class honours/Pass,0
7209,Sex,Not known,All,England,2016/17,Unclassified,0
7210,Sex,Not known,All,England,2017/18,First class honours,5
7211,Sex,Not known,All,England,2017/18,Upper second class honours,5
7212,Sex,Not known,All,England,2017/18,Lower second class honours,5
7213,Sex,Not known,All,England,2017/18,Third class honours/Pass,5
7214,Sex,Not known,All,England,2017/18,Unclassified,0
7215,Sex,Not known,All,England,2018/19,First class honours,0
7216,Sex,Not known,All,England,2018/19,Upper second class honours,0
7217,Sex,Not known,All,England,2018/19,Lower second class honours,0
7218,Sex,Not known,All,England,2018/19,Third class honours/Pass,0
7219,Sex,Not known,All,England,2018/19,Unclassified,0
7220,Sex,Not known,All,All,2015/16,First class honours,10
7221,Sex,Not known,All,All,2015/16,Upper second class honours,20
7222,Sex,Not known,All,All,2015/16,Lower second class honours,5
7223,Sex,Not known,All,All,2015/16,Third class honours/Pass,5
7224,Sex,Not known,All,All,2015/16,Unclassified,0
7225,Sex,Not known,All,All,2016/17,First class honours,5
7226,Sex,Not known,All,All,2016/17,Upper second class honours,15
7227,Sex,Not known,All,All,2016/17,Lower second class honours,0
7228,Sex,Not known,All,All,2016/17,Third class honours/Pass,0
7229,Sex,Not known,All,All,2016/17,Unclassified,0
7230,Sex,Not known,All,All,2017/18,First class honours,5
7231,Sex,Not known,All,All,2017/18,Upper second class honours,5
7232,Sex,Not known,All,All,2017/18,Lower second class honours,5
7233,Sex,Not known,All,All,2017/18,Third class honours/Pass,5
7234,Sex,Not known,All,All,2017/18,Unclassified,0
7235,Sex,Not known,All,All,2018/19,First class honours,0
7236,Sex,Not known,All,All,2018/19,Upper second class honours,0
7237,Sex,Not known,All,All,2018/19,Lower second class honours,0
7238,Sex,Not known,All,All,2018/19,Third class honours/Pass,0
7239,Sex,Not known,All,All,2018/19,Unclassified,0
7240,Sex,Not known,Full-time,All,2015/16,First class honours,10
7241,Sex,Not known,Full-time,All,2015/16,Upper second class honours,20
7242,Sex,Not known,Full-time,All,2015/16,Lower second class honours,5
7243,Sex,Not known,Full-time,All,2015/16,Third class honours/Pass,5
7244,Sex,Not known,Full-time,All,2015/16,Unclassified,0
7245,Sex,Not known,Full-time,All,2016/17,First class honours,5
7246,Sex,Not known,Full-time,All,2016/17,Upper second class honours,15
7247,Sex,Not known,Full-time,All,2016/17,Lower second class honours,0
7248,Sex,Not known,Full-time,All,2016/17,Third class honours/Pass,0
7249,Sex,Not known,Full-time,All,2016/17,Unclassified,0
7250,Sex,Not known,Full-time,All,2017/18,First class honours,5
7251,Sex,Not known,Full-time,All,2017/18,Upper second class honours,5
7252,Sex,Not known,Full-time,All,2017/18,Lower second class honours,5
7253,Sex,Not known,Full-time,All,2017/18,Third class honours/Pass,5
7254,Sex,Not known,Full-time,All,2017/18,Unclassified,0
7255,Sex,Not known,Full-time,All,2018/19,First class honours,0
7256,Sex,Not known,Full-time,All,2018/19,Upper second class honours,0
7257,Sex,Not known,Full-time,All,2018/19,Lower second class honours,0
7258,Sex,Not known,Full-time,All,2018/19,Third class honours/Pass,0
7259,Sex,Not known,Full-time,All,2018/19,Unclassified,0
