,Religious belief,Mode of study,Country of HE provider,Academic year,Classification of first degree,Number
8564,Any other religion or belief,Full-time,All,2019/20,Unclassified,155
8565,Any other religion or belief,Part-time,All,2018/19,First class honours,55
8566,Any other religion or belief,Part-time,All,2018/19,Upper second class honours,130
8567,Any other religion or belief,Part-time,All,2018/19,Lower second class honours,105
8568,Any other religion or belief,Part-time,All,2018/19,Third class honours/Pass,80
8569,Any other religion or belief,Part-time,All,2018/19,Unclassified,20
8570,Any other religion or belief,Part-time,All,2019/20,First class honours,80
8571,Any other religion or belief,Part-time,All,2019/20,Upper second class honours,105
8572,Any other religion or belief,Part-time,All,2019/20,Lower second class honours,75
8573,Any other religion or belief,Part-time,All,2019/20,Third class honours/Pass,35
8574,Any other religion or belief,Part-time,All,2019/20,Unclassified,20
8575,Not known,Full-time,England,2018/19,First class honours,6860
8576,Not known,Full-time,England,2018/19,Upper second class honours,10625
8577,Not known,Full-time,England,2018/19,Lower second class honours,4105
8578,Not known,Full-time,England,2018/19,Third class honours/Pass,1205
8579,Not known,Full-time,England,2018/19,Unclassified,1455
8580,Not known,Part-time,England,2018/19,First class honours,950
8581,Not known,Part-time,England,2018/19,Upper second class honours,1780
8582,Not known,Part-time,England,2018/19,Lower second class honours,1285
8583,Not known,Part-time,England,2018/19,Third class honours/Pass,830
8584,Not known,Part-time,England,2018/19,Unclassified,445
8585,Not known,Full-time,Northern Ireland,2018/19,First class honours,175
8586,Not known,Full-time,Northern Ireland,2018/19,Upper second class honours,290
8587,Not known,Full-time,Northern Ireland,2018/19,Lower second class honours,65
8588,Not known,Full-time,Northern Ireland,2018/19,Third class honours/Pass,10
8589,Not known,Full-time,Northern Ireland,2018/19,Unclassified,15
8590,Not known,Part-time,Northern Ireland,2018/19,First class honours,25
8591,Not known,Part-time,Northern Ireland,2018/19,Upper second class honours,45
8592,Not known,Part-time,Northern Ireland,2018/19,Lower second class honours,45
8593,Not known,Part-time,Northern Ireland,2018/19,Third class honours/Pass,20
8594,Not known,Part-time,Northern Ireland,2018/19,Unclassified,5
8595,Not known,Full-time,Scotland,2018/19,First class honours,435
8596,Not known,Full-time,Scotland,2018/19,Upper second class honours,750
8597,Not known,Full-time,Scotland,2018/19,Lower second class honours,250
8598,Not known,Full-time,Scotland,2018/19,Third class honours/Pass,35
8599,Not known,Full-time,Scotland,2018/19,Unclassified,680
8600,Not known,Part-time,Scotland,2018/19,First class honours,75
8601,Not known,Part-time,Scotland,2018/19,Upper second class honours,160
8602,Not known,Part-time,Scotland,2018/19,Lower second class honours,90
8603,Not known,Part-time,Scotland,2018/19,Third class honours/Pass,45
8604,Not known,Part-time,Scotland,2018/19,Unclassified,135
8605,Not known,Full-time,Wales,2018/19,First class honours,375
8606,Not known,Full-time,Wales,2018/19,Upper second class honours,560
8607,Not known,Full-time,Wales,2018/19,Lower second class honours,215
8608,Not known,Full-time,Wales,2018/19,Third class honours/Pass,55
8609,Not known,Full-time,Wales,2018/19,Unclassified,65
8610,Not known,Part-time,Wales,2018/19,First class honours,55
8611,Not known,Part-time,Wales,2018/19,Upper second class honours,85
8612,Not known,Part-time,Wales,2018/19,Lower second class honours,60
8613,Not known,Part-time,Wales,2018/19,Third class honours/Pass,35
8614,Not known,Part-time,Wales,2018/19,Unclassified,10
8615,Not known,Full-time,England,2019/20,First class honours,7310
8616,Not known,Full-time,England,2019/20,Upper second class honours,9015
8617,Not known,Full-time,England,2019/20,Lower second class honours,2740
8618,Not known,Full-time,England,2019/20,Third class honours/Pass,535
8619,Not known,Full-time,England,2019/20,Unclassified,950
8620,Not known,Part-time,England,2019/20,First class honours,540
8621,Not known,Part-time,England,2019/20,Upper second class honours,750
8622,Not known,Part-time,England,2019/20,Lower second class honours,620
8623,Not known,Part-time,England,2019/20,Third class honours/Pass,320
8624,Not known,Part-time,England,2019/20,Unclassified,170
8625,Not known,Full-time,Northern Ireland,2019/20,First class honours,70
8626,Not known,Full-time,Northern Ireland,2019/20,Upper second class honours,85
8627,Not known,Full-time,Northern Ireland,2019/20,Lower second class honours,20
8628,Not known,Full-time,Northern Ireland,2019/20,Third class honours/Pass,0
8629,Not known,Full-time,Northern Ireland,2019/20,Unclassified,10
8630,Not known,Part-time,Northern Ireland,2019/20,First class honours,10
8631,Not known,Part-time,Northern Ireland,2019/20,Upper second class honours,5
8632,Not known,Part-time,Northern Ireland,2019/20,Lower second class honours,10
8633,Not known,Part-time,Northern Ireland,2019/20,Third class honours/Pass,5
8634,Not known,Part-time,Northern Ireland,2019/20,Unclassified,0
8635,Not known,Full-time,Scotland,2019/20,First class honours,510
8636,Not known,Full-time,Scotland,2019/20,Upper second class honours,690
8637,Not known,Full-time,Scotland,2019/20,Lower second class honours,165
8638,Not known,Full-time,Scotland,2019/20,Third class honours/Pass,25
8639,Not known,Full-time,Scotland,2019/20,Unclassified,375
8640,Not known,Part-time,Scotland,2019/20,First class honours,25
8641,Not known,Part-time,Scotland,2019/20,Upper second class honours,35
8642,Not known,Part-time,Scotland,2019/20,Lower second class honours,30
8643,Not known,Part-time,Scotland,2019/20,Third class honours/Pass,25
8644,Not known,Part-time,Scotland,2019/20,Unclassified,145
8645,Not known,Full-time,Wales,2019/20,First class honours,490
8646,Not known,Full-time,Wales,2019/20,Upper second class honours,585
8647,Not known,Full-time,Wales,2019/20,Lower second class honours,175
8648,Not known,Full-time,Wales,2019/20,Third class honours/Pass,30
8649,Not known,Full-time,Wales,2019/20,Unclassified,55
8650,Not known,Part-time,Wales,2019/20,First class honours,20
8651,Not known,Part-time,Wales,2019/20,Upper second class honours,30
8652,Not known,Part-time,Wales,2019/20,Lower second class honours,25
8653,Not known,Part-time,Wales,2019/20,Third class honours/Pass,15
8654,Not known,Part-time,Wales,2019/20,Unclassified,5
8655,Not known,All,England,2018/19,First class honours,7810
8656,Not known,All,England,2018/19,Upper second class honours,12405
8657,Not known,All,England,2018/19,Lower second class honours,5395
8658,Not known,All,England,2018/19,Third class honours/Pass,2035
8659,Not known,All,England,2018/19,Unclassified,1905
8660,Not known,All,Northern Ireland,2018/19,First class honours,195
8661,Not known,All,Northern Ireland,2018/19,Upper second class honours,335
8662,Not known,All,Northern Ireland,2018/19,Lower second class honours,110
8663,Not known,All,Northern Ireland,2018/19,Third class honours/Pass,30
8664,Not known,All,Northern Ireland,2018/19,Unclassified,20
8665,Not known,All,Scotland,2018/19,First class honours,510
8666,Not known,All,Scotland,2018/19,Upper second class honours,905
8667,Not known,All,Scotland,2018/19,Lower second class honours,345
8668,Not known,All,Scotland,2018/19,Third class honours/Pass,80
8669,Not known,All,Scotland,2018/19,Unclassified,815
8670,Not known,All,Wales,2018/19,First class honours,425
8671,Not known,All,Wales,2018/19,Upper second class honours,650
8672,Not known,All,Wales,2018/19,Lower second class honours,275
8673,Not known,All,Wales,2018/19,Third class honours/Pass,90
8674,Not known,All,Wales,2018/19,Unclassified,75
8675,Not known,All,England,2019/20,First class honours,7850
8676,Not known,All,England,2019/20,Upper second class honours,9760
8677,Not known,All,England,2019/20,Lower second class honours,3360
8678,Not known,All,England,2019/20,Third class honours/Pass,855
8679,Not known,All,England,2019/20,Unclassified,1125
8680,Not known,All,Northern Ireland,2019/20,First class honours,80
8681,Not known,All,Northern Ireland,2019/20,Upper second class honours,90
8682,Not known,All,Northern Ireland,2019/20,Lower second class honours,30
8683,Not known,All,Northern Ireland,2019/20,Third class honours/Pass,5
8684,Not known,All,Northern Ireland,2019/20,Unclassified,10
8685,Not known,All,Scotland,2019/20,First class honours,530
8686,Not known,All,Scotland,2019/20,Upper second class honours,725
8687,Not known,All,Scotland,2019/20,Lower second class honours,195
8688,Not known,All,Scotland,2019/20,Third class honours/Pass,50
8689,Not known,All,Scotland,2019/20,Unclassified,520
8690,Not known,All,Wales,2019/20,First class honours,510
8691,Not known,All,Wales,2019/20,Upper second class honours,615
8692,Not known,All,Wales,2019/20,Lower second class honours,200
8693,Not known,All,Wales,2019/20,Third class honours/Pass,50
8694,Not known,All,Wales,2019/20,Unclassified,60
8695,Not known,All,All,2018/19,First class honours,8945
8696,Not known,All,All,2018/19,Upper second class honours,14295
8697,Not known,All,All,2018/19,Lower second class honours,6120
8698,Not known,All,All,2018/19,Third class honours/Pass,2235
8699,Not known,All,All,2018/19,Unclassified,2815
8700,Not known,All,All,2019/20,First class honours,8970
8701,Not known,All,All,2019/20,Upper second class honours,11195
8702,Not known,All,All,2019/20,Lower second class honours,3790
8703,Not known,All,All,2019/20,Third class honours/Pass,960
8704,Not known,All,All,2019/20,Unclassified,1710
8705,Not known,Full-time,All,2018/19,First class honours,7845
8706,Not known,Full-time,All,2018/19,Upper second class honours,12225
8707,Not known,Full-time,All,2018/19,Lower second class honours,4640
8708,Not known,Full-time,All,2018/19,Third class honours/Pass,1305
8709,Not known,Full-time,All,2018/19,Unclassified,2215
8710,Not known,Full-time,All,2019/20,First class honours,8380
8711,Not known,Full-time,All,2019/20,Upper second class honours,10375
8712,Not known,Full-time,All,2019/20,Lower second class honours,3100
8713,Not known,Full-time,All,2019/20,Third class honours/Pass,595
8714,Not known,Full-time,All,2019/20,Unclassified,1385
8715,Not known,Part-time,All,2018/19,First class honours,1100
8716,Not known,Part-time,All,2018/19,Upper second class honours,2070
8717,Not known,Part-time,All,2018/19,Lower second class honours,1480
8718,Not known,Part-time,All,2018/19,Third class honours/Pass,930
8719,Not known,Part-time,All,2018/19,Unclassified,595
8720,Not known,Part-time,All,2019/20,First class honours,590
8721,Not known,Part-time,All,2019/20,Upper second class honours,820
8722,Not known,Part-time,All,2019/20,Lower second class honours,685
8723,Not known,Part-time,All,2019/20,Third class honours/Pass,370
8724,Not known,Part-time,All,2019/20,Unclassified,325
