Category marker,Category,Mode of study,Country of HE provider,Academic year,Classification of first degree,Number
Sex,Female,Full-time,England,2014/15,First class honours,31210
Sex,Female,Full-time,England,2014/15,Upper second class honours,73215
Sex,Female,Full-time,England,2014/15,Lower second class honours,26570
Sex,Female,Full-time,England,2014/15,Third class honours/Pass,4620
Sex,Female,Full-time,England,2014/15,Unclassified,4825
Sex,Female,Part-time,England,2014/15,First class honours,2695
Sex,Female,Part-time,England,2014/15,Upper second class honours,6230
Sex,Female,Part-time,England,2014/15,Lower second class honours,4950
Sex,Female,Part-time,England,2014/15,Third class honours/Pass,2610
Sex,Female,Part-time,England,2014/15,Unclassified,1330
Sex,Female,Full-time,Northern Ireland,2014/15,First class honours,885
Sex,Female,Full-time,Northern Ireland,2014/15,Upper second class honours,2380
Sex,Female,Full-time,Northern Ireland,2014/15,Lower second class honours,840
Sex,Female,Full-time,Northern Ireland,2014/15,Third class honours/Pass,95
Sex,Female,Full-time,Northern Ireland,2014/15,Unclassified,150
Sex,Female,Part-time,Northern Ireland,2014/15,First class honours,55
Sex,Female,Part-time,Northern Ireland,2014/15,Upper second class honours,220
Sex,Female,Part-time,Northern Ireland,2014/15,Lower second class honours,170
Sex,Female,Part-time,Northern Ireland,2014/15,Third class honours/Pass,35
Sex,Female,Part-time,Northern Ireland,2014/15,Unclassified,15
Sex,Female,Full-time,Scotland,2014/15,First class honours,2395
Sex,Female,Full-time,Scotland,2014/15,Upper second class honours,6385
Sex,Female,Full-time,Scotland,2014/15,Lower second class honours,2070
Sex,Female,Full-time,Scotland,2014/15,Third class honours/Pass,260
Sex,Female,Full-time,Scotland,2014/15,Unclassified,4705
Sex,Female,Part-time,Scotland,2014/15,First class honours,105
Sex,Female,Part-time,Scotland,2014/15,Upper second class honours,230
Sex,Female,Part-time,Scotland,2014/15,Lower second class honours,170
Sex,Female,Part-time,Scotland,2014/15,Third class honours/Pass,85
Sex,Female,Part-time,Scotland,2014/15,Unclassified,1225
Sex,Female,Full-time,Wales,2014/15,First class honours,2030
Sex,Female,Full-time,Wales,2014/15,Upper second class honours,4830
Sex,Female,Full-time,Wales,2014/15,Lower second class honours,2180
Sex,Female,Full-time,Wales,2014/15,Third class honours/Pass,350
Sex,Female,Full-time,Wales,2014/15,Unclassified,290
Sex,Female,Part-time,Wales,2014/15,First class honours,140
Sex,Female,Part-time,Wales,2014/15,Upper second class honours,265
Sex,Female,Part-time,Wales,2014/15,Lower second class honours,230
Sex,Female,Part-time,Wales,2014/15,Third class honours/Pass,100
Sex,Female,Part-time,Wales,2014/15,Unclassified,75
Sex,Female,Full-time,England,2015/16,First class honours,34940
Sex,Female,Full-time,England,2015/16,Upper second class honours,75170
Sex,Female,Full-time,England,2015/16,Lower second class honours,26535
Sex,Female,Full-time,England,2015/16,Third class honours/Pass,4680
Sex,Female,Full-time,England,2015/16,Unclassified,4855
Sex,Female,Part-time,England,2015/16,First class honours,2450
Sex,Female,Part-time,England,2015/16,Upper second class honours,5440
Sex,Female,Part-time,England,2015/16,Lower second class honours,4465
Sex,Female,Part-time,England,2015/16,Third class honours/Pass,2465
Sex,Female,Part-time,England,2015/16,Unclassified,1145
Sex,Female,Full-time,Northern Ireland,2015/16,First class honours,1065
Sex,Female,Full-time,Northern Ireland,2015/16,Upper second class honours,2490
Sex,Female,Full-time,Northern Ireland,2015/16,Lower second class honours,815
Sex,Female,Full-time,Northern Ireland,2015/16,Third class honours/Pass,80
Sex,Female,Full-time,Northern Ireland,2015/16,Unclassified,155
Sex,Female,Part-time,Northern Ireland,2015/16,First class honours,65
Sex,Female,Part-time,Northern Ireland,2015/16,Upper second class honours,220
Sex,Female,Part-time,Northern Ireland,2015/16,Lower second class honours,115
Sex,Female,Part-time,Northern Ireland,2015/16,Third class honours/Pass,40
Sex,Female,Part-time,Northern Ireland,2015/16,Unclassified,20
Sex,Female,Full-time,Scotland,2015/16,First class honours,2750
Sex,Female,Full-time,Scotland,2015/16,Upper second class honours,6775
Sex,Female,Full-time,Scotland,2015/16,Lower second class honours,2015
Sex,Female,Full-time,Scotland,2015/16,Third class honours/Pass,260
Sex,Female,Full-time,Scotland,2015/16,Unclassified,4670
Sex,Female,Part-time,Scotland,2015/16,First class honours,105
Sex,Female,Part-time,Scotland,2015/16,Upper second class honours,255
Sex,Female,Part-time,Scotland,2015/16,Lower second class honours,185
Sex,Female,Part-time,Scotland,2015/16,Third class honours/Pass,100
Sex,Female,Part-time,Scotland,2015/16,Unclassified,910
Sex,Female,Full-time,Wales,2015/16,First class honours,2220
Sex,Female,Full-time,Wales,2015/16,Upper second class honours,4765
Sex,Female,Full-time,Wales,2015/16,Lower second class honours,1875
Sex,Female,Full-time,Wales,2015/16,Third class honours/Pass,285
Sex,Female,Full-time,Wales,2015/16,Unclassified,235
Sex,Female,Part-time,Wales,2015/16,First class honours,115
Sex,Female,Part-time,Wales,2015/16,Upper second class honours,220
Sex,Female,Part-time,Wales,2015/16,Lower second class honours,145
Sex,Female,Part-time,Wales,2015/16,Third class honours/Pass,60
Sex,Female,Part-time,Wales,2015/16,Unclassified,60
Sex,Female,Full-time,England,2016/17,First class honours,40380
Sex,Female,Full-time,England,2016/17,Upper second class honours,76770
Sex,Female,Full-time,England,2016/17,Lower second class honours,25590
Sex,Female,Full-time,England,2016/17,Third class honours/Pass,4975
Sex,Female,Full-time,England,2016/17,Unclassified,4515
Sex,Female,Part-time,England,2016/17,First class honours,2535
Sex,Female,Part-time,England,2016/17,Upper second class honours,5185
Sex,Female,Part-time,England,2016/17,Lower second class honours,4260
Sex,Female,Part-time,England,2016/17,Third class honours/Pass,2440
Sex,Female,Part-time,England,2016/17,Unclassified,1030
Sex,Female,Full-time,Northern Ireland,2016/17,First class honours,1110
Sex,Female,Full-time,Northern Ireland,2016/17,Upper second class honours,2530
Sex,Female,Full-time,Northern Ireland,2016/17,Lower second class honours,810
Sex,Female,Full-time,Northern Ireland,2016/17,Third class honours/Pass,55
Sex,Female,Full-time,Northern Ireland,2016/17,Unclassified,150
Sex,Female,Part-time,Northern Ireland,2016/17,First class honours,60
Sex,Female,Part-time,Northern Ireland,2016/17,Upper second class honours,215
Sex,Female,Part-time,Northern Ireland,2016/17,Lower second class honours,125
Sex,Female,Part-time,Northern Ireland,2016/17,Third class honours/Pass,40
Sex,Female,Part-time,Northern Ireland,2016/17,Unclassified,15
Sex,Female,Full-time,Scotland,2016/17,First class honours,2865
Sex,Female,Full-time,Scotland,2016/17,Upper second class honours,6960
Sex,Female,Full-time,Scotland,2016/17,Lower second class honours,1885
Sex,Female,Full-time,Scotland,2016/17,Third class honours/Pass,300
Sex,Female,Full-time,Scotland,2016/17,Unclassified,4830
Sex,Female,Part-time,Scotland,2016/17,First class honours,115
Sex,Female,Part-time,Scotland,2016/17,Upper second class honours,285
Sex,Female,Part-time,Scotland,2016/17,Lower second class honours,210
Sex,Female,Part-time,Scotland,2016/17,Third class honours/Pass,100
Sex,Female,Part-time,Scotland,2016/17,Unclassified,820
Sex,Female,Full-time,Wales,2016/17,First class honours,2605
Sex,Female,Full-time,Wales,2016/17,Upper second class honours,4885
Sex,Female,Full-time,Wales,2016/17,Lower second class honours,1815
Sex,Female,Full-time,Wales,2016/17,Third class honours/Pass,300
Sex,Female,Full-time,Wales,2016/17,Unclassified,275
Sex,Female,Part-time,Wales,2016/17,First class honours,120
Sex,Female,Part-time,Wales,2016/17,Upper second class honours,215
Sex,Female,Part-time,Wales,2016/17,Lower second class honours,150
Sex,Female,Part-time,Wales,2016/17,Third class honours/Pass,65
Sex,Female,Part-time,Wales,2016/17,Unclassified,45
Sex,Female,Full-time,England,2017/18,First class honours,45115
Sex,Female,Full-time,England,2017/18,Upper second class honours,77775
Sex,Female,Full-time,England,2017/18,Lower second class honours,25260
Sex,Female,Full-time,England,2017/18,Third class honours/Pass,4690
Sex,Female,Full-time,England,2017/18,Unclassified,4590
Sex,Female,Part-time,England,2017/18,First class honours,2200
Sex,Female,Part-time,England,2017/18,Upper second class honours,4155
Sex,Female,Part-time,England,2017/18,Lower second class honours,3505
Sex,Female,Part-time,England,2017/18,Third class honours/Pass,2205
Sex,Female,Part-time,England,2017/18,Unclassified,760
Sex,Female,Full-time,Northern Ireland,2017/18,First class honours,1245
Sex,Female,Full-time,Northern Ireland,2017/18,Upper second class honours,2325
Sex,Female,Full-time,Northern Ireland,2017/18,Lower second class honours,670
Sex,Female,Full-time,Northern Ireland,2017/18,Third class honours/Pass,55
Sex,Female,Full-time,Northern Ireland,2017/18,Unclassified,135
Sex,Female,Part-time,Northern Ireland,2017/18,First class honours,90
Sex,Female,Part-time,Northern Ireland,2017/18,Upper second class honours,170
Sex,Female,Part-time,Northern Ireland,2017/18,Lower second class honours,130
Sex,Female,Part-time,Northern Ireland,2017/18,Third class honours/Pass,35
Sex,Female,Part-time,Northern Ireland,2017/18,Unclassified,5
Sex,Female,Full-time,Scotland,2017/18,First class honours,3155
Sex,Female,Full-time,Scotland,2017/18,Upper second class honours,7075
Sex,Female,Full-time,Scotland,2017/18,Lower second class honours,1880
Sex,Female,Full-time,Scotland,2017/18,Third class honours/Pass,280
Sex,Female,Full-time,Scotland,2017/18,Unclassified,4885
Sex,Female,Part-time,Scotland,2017/18,First class honours,110
Sex,Female,Part-time,Scotland,2017/18,Upper second class honours,220
Sex,Female,Part-time,Scotland,2017/18,Lower second class honours,185
Sex,Female,Part-time,Scotland,2017/18,Third class honours/Pass,110
Sex,Female,Part-time,Scotland,2017/18,Unclassified,755
Sex,Female,Full-time,Wales,2017/18,First class honours,2770
Sex,Female,Full-time,Wales,2017/18,Upper second class honours,4765
Sex,Female,Full-time,Wales,2017/18,Lower second class honours,1640
Sex,Female,Full-time,Wales,2017/18,Third class honours/Pass,270
Sex,Female,Full-time,Wales,2017/18,Unclassified,235
Sex,Female,Part-time,Wales,2017/18,First class honours,125
Sex,Female,Part-time,Wales,2017/18,Upper second class honours,170
Sex,Female,Part-time,Wales,2017/18,Lower second class honours,135
Sex,Female,Part-time,Wales,2017/18,Third class honours/Pass,65
Sex,Female,Part-time,Wales,2017/18,Unclassified,60
Sex,Female,Full-time,England,2018/19,First class honours,46870
Sex,Female,Full-time,England,2018/19,Upper second class honours,78380
Sex,Female,Full-time,England,2018/19,Lower second class honours,25550
Sex,Female,Full-time,England,2018/19,Third class honours/Pass,4710
Sex,Female,Full-time,England,2018/19,Unclassified,4645
Sex,Female,Part-time,England,2018/19,First class honours,2250
Sex,Female,Part-time,England,2018/19,Upper second class honours,4295
Sex,Female,Part-time,England,2018/19,Lower second class honours,3230
Sex,Female,Part-time,England,2018/19,Third class honours/Pass,1895
Sex,Female,Part-time,England,2018/19,Unclassified,700
Sex,Female,Full-time,Northern Ireland,2018/19,First class honours,1230
Sex,Female,Full-time,Northern Ireland,2018/19,Upper second class honours,2405
Sex,Female,Full-time,Northern Ireland,2018/19,Lower second class honours,600
Sex,Female,Full-time,Northern Ireland,2018/19,Third class honours/Pass,55
Sex,Female,Full-time,Northern Ireland,2018/19,Unclassified,155
Sex,Female,Part-time,Northern Ireland,2018/19,First class honours,105
Sex,Female,Part-time,Northern Ireland,2018/19,Upper second class honours,210
Sex,Female,Part-time,Northern Ireland,2018/19,Lower second class honours,115
Sex,Female,Part-time,Northern Ireland,2018/19,Third class honours/Pass,30
Sex,Female,Part-time,Northern Ireland,2018/19,Unclassified,10
Sex,Female,Full-time,Scotland,2018/19,First class honours,3290
Sex,Female,Full-time,Scotland,2018/19,Upper second class honours,6800
Sex,Female,Full-time,Scotland,2018/19,Lower second class honours,1860
Sex,Female,Full-time,Scotland,2018/19,Third class honours/Pass,260
Sex,Female,Full-time,Scotland,2018/19,Unclassified,5055
Sex,Female,Part-time,Scotland,2018/19,First class honours,155
Sex,Female,Part-time,Scotland,2018/19,Upper second class honours,305
Sex,Female,Part-time,Scotland,2018/19,Lower second class honours,180
Sex,Female,Part-time,Scotland,2018/19,Third class honours/Pass,90
Sex,Female,Part-time,Scotland,2018/19,Unclassified,820
Sex,Female,Full-time,Wales,2018/19,First class honours,3015
Sex,Female,Full-time,Wales,2018/19,Upper second class honours,4665
Sex,Female,Full-time,Wales,2018/19,Lower second class honours,1655
Sex,Female,Full-time,Wales,2018/19,Third class honours/Pass,240
Sex,Female,Full-time,Wales,2018/19,Unclassified,250
Sex,Female,Part-time,Wales,2018/19,First class honours,135
Sex,Female,Part-time,Wales,2018/19,Upper second class honours,210
Sex,Female,Part-time,Wales,2018/19,Lower second class honours,145
Sex,Female,Part-time,Wales,2018/19,Third class honours/Pass,65
Sex,Female,Part-time,Wales,2018/19,Unclassified,25
Sex,Female,Full-time,England,2019/20,First class honours,56600
Sex,Female,Full-time,England,2019/20,Upper second class honours,74245
Sex,Female,Full-time,England,2019/20,Lower second class honours,20190
Sex,Female,Full-time,England,2019/20,Third class honours/Pass,3200
Sex,Female,Full-time,England,2019/20,Unclassified,4890
Sex,Female,Part-time,England,2019/20,First class honours,1775
Sex,Female,Part-time,England,2019/20,Upper second class honours,2605
Sex,Female,Part-time,England,2019/20,Lower second class honours,2020
Sex,Female,Part-time,England,2019/20,Third class honours/Pass,1165
Sex,Female,Part-time,England,2019/20,Unclassified,410
Sex,Female,Full-time,Northern Ireland,2019/20,First class honours,1415
Sex,Female,Full-time,Northern Ireland,2019/20,Upper second class honours,2375
Sex,Female,Full-time,Northern Ireland,2019/20,Lower second class honours,495
Sex,Female,Full-time,Northern Ireland,2019/20,Third class honours/Pass,35
Sex,Female,Full-time,Northern Ireland,2019/20,Unclassified,140
Sex,Female,Part-time,Northern Ireland,2019/20,First class honours,100
Sex,Female,Part-time,Northern Ireland,2019/20,Upper second class honours,155
Sex,Female,Part-time,Northern Ireland,2019/20,Lower second class honours,80
Sex,Female,Part-time,Northern Ireland,2019/20,Third class honours/Pass,20
Sex,Female,Part-time,Northern Ireland,2019/20,Unclassified,0
Sex,Female,Full-time,Scotland,2019/20,First class honours,4315
Sex,Female,Full-time,Scotland,2019/20,Upper second class honours,6720
Sex,Female,Full-time,Scotland,2019/20,Lower second class honours,1365
Sex,Female,Full-time,Scotland,2019/20,Third class honours/Pass,220
Sex,Female,Full-time,Scotland,2019/20,Unclassified,4215
Sex,Female,Part-time,Scotland,2019/20,First class honours,65
Sex,Female,Part-time,Scotland,2019/20,Upper second class honours,100
Sex,Female,Part-time,Scotland,2019/20,Lower second class honours,65
Sex,Female,Part-time,Scotland,2019/20,Third class honours/Pass,50
Sex,Female,Part-time,Scotland,2019/20,Unclassified,755
Sex,Female,Full-time,Wales,2019/20,First class honours,3815
Sex,Female,Full-time,Wales,2019/20,Upper second class honours,4605
Sex,Female,Full-time,Wales,2019/20,Lower second class honours,1410
Sex,Female,Full-time,Wales,2019/20,Third class honours/Pass,220
Sex,Female,Full-time,Wales,2019/20,Unclassified,245
Sex,Female,Part-time,Wales,2019/20,First class honours,95
Sex,Female,Part-time,Wales,2019/20,Upper second class honours,130
Sex,Female,Part-time,Wales,2019/20,Lower second class honours,70
Sex,Female,Part-time,Wales,2019/20,Third class honours/Pass,30
Sex,Female,Part-time,Wales,2019/20,Unclassified,5
Sex,Female,All,England,2014/15,First class honours,33910
Sex,Female,All,England,2014/15,Upper second class honours,79445
Sex,Female,All,England,2014/15,Lower second class honours,31520
Sex,Female,All,England,2014/15,Third class honours/Pass,7230
Sex,Female,All,England,2014/15,Unclassified,6155
Sex,Female,All,Northern Ireland,2014/15,First class honours,945
Sex,Female,All,Northern Ireland,2014/15,Upper second class honours,2595
Sex,Female,All,Northern Ireland,2014/15,Lower second class honours,1010
Sex,Female,All,Northern Ireland,2014/15,Third class honours/Pass,130
Sex,Female,All,Northern Ireland,2014/15,Unclassified,160
Sex,Female,All,Scotland,2014/15,First class honours,2500
Sex,Female,All,Scotland,2014/15,Upper second class honours,6615
Sex,Female,All,Scotland,2014/15,Lower second class honours,2240
Sex,Female,All,Scotland,2014/15,Third class honours/Pass,345
Sex,Female,All,Scotland,2014/15,Unclassified,5935
Sex,Female,All,Wales,2014/15,First class honours,2170
Sex,Female,All,Wales,2014/15,Upper second class honours,5095
Sex,Female,All,Wales,2014/15,Lower second class honours,2410
Sex,Female,All,Wales,2014/15,Third class honours/Pass,455
Sex,Female,All,Wales,2014/15,Unclassified,365
Sex,Female,All,England,2015/16,First class honours,37390
Sex,Female,All,England,2015/16,Upper second class honours,80610
Sex,Female,All,England,2015/16,Lower second class honours,31000
Sex,Female,All,England,2015/16,Third class honours/Pass,7140
Sex,Female,All,England,2015/16,Unclassified,6000
Sex,Female,All,Northern Ireland,2015/16,First class honours,1130
Sex,Female,All,Northern Ireland,2015/16,Upper second class honours,2710
Sex,Female,All,Northern Ireland,2015/16,Lower second class honours,930
Sex,Female,All,Northern Ireland,2015/16,Third class honours/Pass,125
Sex,Female,All,Northern Ireland,2015/16,Unclassified,175
Sex,Female,All,Scotland,2015/16,First class honours,2850
Sex,Female,All,Scotland,2015/16,Upper second class honours,7030
Sex,Female,All,Scotland,2015/16,Lower second class honours,2200
Sex,Female,All,Scotland,2015/16,Third class honours/Pass,360
Sex,Female,All,Scotland,2015/16,Unclassified,5580
Sex,Female,All,Wales,2015/16,First class honours,2330
Sex,Female,All,Wales,2015/16,Upper second class honours,4985
Sex,Female,All,Wales,2015/16,Lower second class honours,2020
Sex,Female,All,Wales,2015/16,Third class honours/Pass,350
Sex,Female,All,Wales,2015/16,Unclassified,290
Sex,Female,All,England,2016/17,First class honours,42920
Sex,Female,All,England,2016/17,Upper second class honours,81950
Sex,Female,All,England,2016/17,Lower second class honours,29850
Sex,Female,All,England,2016/17,Third class honours/Pass,7415
Sex,Female,All,England,2016/17,Unclassified,5545
Sex,Female,All,Northern Ireland,2016/17,First class honours,1170
Sex,Female,All,Northern Ireland,2016/17,Upper second class honours,2740
Sex,Female,All,Northern Ireland,2016/17,Lower second class honours,935
Sex,Female,All,Northern Ireland,2016/17,Third class honours/Pass,95
Sex,Female,All,Northern Ireland,2016/17,Unclassified,160
Sex,Female,All,Scotland,2016/17,First class honours,2975
Sex,Female,All,Scotland,2016/17,Upper second class honours,7245
Sex,Female,All,Scotland,2016/17,Lower second class honours,2095
Sex,Female,All,Scotland,2016/17,Third class honours/Pass,400
Sex,Female,All,Scotland,2016/17,Unclassified,5650
Sex,Female,All,Wales,2016/17,First class honours,2725
Sex,Female,All,Wales,2016/17,Upper second class honours,5100
Sex,Female,All,Wales,2016/17,Lower second class honours,1960
Sex,Female,All,Wales,2016/17,Third class honours/Pass,365
Sex,Female,All,Wales,2016/17,Unclassified,320
Sex,Female,All,England,2017/18,First class honours,47315
Sex,Female,All,England,2017/18,Upper second class honours,81925
Sex,Female,All,England,2017/18,Lower second class honours,28765
Sex,Female,All,England,2017/18,Third class honours/Pass,6895
Sex,Female,All,England,2017/18,Unclassified,5350
Sex,Female,All,Northern Ireland,2017/18,First class honours,1340
Sex,Female,All,Northern Ireland,2017/18,Upper second class honours,2500
Sex,Female,All,Northern Ireland,2017/18,Lower second class honours,800
Sex,Female,All,Northern Ireland,2017/18,Third class honours/Pass,90
Sex,Female,All,Northern Ireland,2017/18,Unclassified,140
Sex,Female,All,Scotland,2017/18,First class honours,3265
Sex,Female,All,Scotland,2017/18,Upper second class honours,7295
Sex,Female,All,Scotland,2017/18,Lower second class honours,2065
Sex,Female,All,Scotland,2017/18,Third class honours/Pass,390
Sex,Female,All,Scotland,2017/18,Unclassified,5635
Sex,Female,All,Wales,2017/18,First class honours,2895
Sex,Female,All,Wales,2017/18,Upper second class honours,4935
Sex,Female,All,Wales,2017/18,Lower second class honours,1780
Sex,Female,All,Wales,2017/18,Third class honours/Pass,335
Sex,Female,All,Wales,2017/18,Unclassified,295
Sex,Female,All,England,2018/19,First class honours,49120
Sex,Female,All,England,2018/19,Upper second class honours,82675
Sex,Female,All,England,2018/19,Lower second class honours,28775
Sex,Female,All,England,2018/19,Third class honours/Pass,6605
Sex,Female,All,England,2018/19,Unclassified,5350
Sex,Female,All,Northern Ireland,2018/19,First class honours,1335
Sex,Female,All,Northern Ireland,2018/19,Upper second class honours,2615
Sex,Female,All,Northern Ireland,2018/19,Lower second class honours,715
Sex,Female,All,Northern Ireland,2018/19,Third class honours/Pass,85
Sex,Female,All,Northern Ireland,2018/19,Unclassified,165
Sex,Female,All,Scotland,2018/19,First class honours,3445
Sex,Female,All,Scotland,2018/19,Upper second class honours,7100
Sex,Female,All,Scotland,2018/19,Lower second class honours,2040
Sex,Female,All,Scotland,2018/19,Third class honours/Pass,350
Sex,Female,All,Scotland,2018/19,Unclassified,5880
Sex,Female,All,Wales,2018/19,First class honours,3150
Sex,Female,All,Wales,2018/19,Upper second class honours,4875
Sex,Female,All,Wales,2018/19,Lower second class honours,1805
Sex,Female,All,Wales,2018/19,Third class honours/Pass,305
Sex,Female,All,Wales,2018/19,Unclassified,270
Sex,Female,All,England,2019/20,First class honours,58375
Sex,Female,All,England,2019/20,Upper second class honours,76850
Sex,Female,All,England,2019/20,Lower second class honours,22210
Sex,Female,All,England,2019/20,Third class honours/Pass,4365
Sex,Female,All,England,2019/20,Unclassified,5305
Sex,Female,All,Northern Ireland,2019/20,First class honours,1520
Sex,Female,All,Northern Ireland,2019/20,Upper second class honours,2530
Sex,Female,All,Northern Ireland,2019/20,Lower second class honours,570
Sex,Female,All,Northern Ireland,2019/20,Third class honours/Pass,55
Sex,Female,All,Northern Ireland,2019/20,Unclassified,140
Sex,Female,All,Scotland,2019/20,First class honours,4380
Sex,Female,All,Scotland,2019/20,Upper second class honours,6820
Sex,Female,All,Scotland,2019/20,Lower second class honours,1435
Sex,Female,All,Scotland,2019/20,Third class honours/Pass,270
Sex,Female,All,Scotland,2019/20,Unclassified,4970
Sex,Female,All,Wales,2019/20,First class honours,3915
Sex,Female,All,Wales,2019/20,Upper second class honours,4730
Sex,Female,All,Wales,2019/20,Lower second class honours,1480
Sex,Female,All,Wales,2019/20,Third class honours/Pass,250
Sex,Female,All,Wales,2019/20,Unclassified,250
Sex,Female,All,All,2014/15,First class honours,39520
Sex,Female,All,All,2014/15,Upper second class honours,93750
Sex,Female,All,All,2014/15,Lower second class honours,37180
Sex,Female,All,All,2014/15,Third class honours/Pass,8160
Sex,Female,All,All,2014/15,Unclassified,12615
Sex,Female,All,All,2015/16,First class honours,43705
Sex,Female,All,All,2015/16,Upper second class honours,95330
Sex,Female,All,All,2015/16,Lower second class honours,36155
Sex,Female,All,All,2015/16,Third class honours/Pass,7970
Sex,Female,All,All,2015/16,Unclassified,12045
Sex,Female,All,All,2016/17,First class honours,49790
Sex,Female,All,All,2016/17,Upper second class honours,97040
Sex,Female,All,All,2016/17,Lower second class honours,34840
Sex,Female,All,All,2016/17,Third class honours/Pass,8275
Sex,Female,All,All,2016/17,Unclassified,11680
Sex,Female,All,All,2017/18,First class honours,54810
Sex,Female,All,All,2017/18,Upper second class honours,96655
Sex,Female,All,All,2017/18,Lower second class honours,33405
Sex,Female,All,All,2017/18,Third class honours/Pass,7710
Sex,Female,All,All,2017/18,Unclassified,11425
Sex,Female,All,All,2018/19,First class honours,57050
Sex,Female,All,All,2018/19,Upper second class honours,97270
Sex,Female,All,All,2018/19,Lower second class honours,33335
Sex,Female,All,All,2018/19,Third class honours/Pass,7345
Sex,Female,All,All,2018/19,Unclassified,11665
Sex,Female,All,All,2019/20,First class honours,68190
Sex,Female,All,All,2019/20,Upper second class honours,90935
Sex,Female,All,All,2019/20,Lower second class honours,25700
Sex,Female,All,All,2019/20,Third class honours/Pass,4940
Sex,Female,All,All,2019/20,Unclassified,10660
Sex,Female,Full-time,All,2014/15,First class honours,36520
Sex,Female,Full-time,All,2014/15,Upper second class honours,86810
Sex,Female,Full-time,All,2014/15,Lower second class honours,31665
Sex,Female,Full-time,All,2014/15,Third class honours/Pass,5325
Sex,Female,Full-time,All,2014/15,Unclassified,9965
Sex,Female,Full-time,All,2015/16,First class honours,40970
Sex,Female,Full-time,All,2015/16,Upper second class honours,89200
Sex,Female,Full-time,All,2015/16,Lower second class honours,31240
Sex,Female,Full-time,All,2015/16,Third class honours/Pass,5305
Sex,Female,Full-time,All,2015/16,Unclassified,9915
Sex,Female,Full-time,All,2016/17,First class honours,46960
Sex,Female,Full-time,All,2016/17,Upper second class honours,91140
Sex,Female,Full-time,All,2016/17,Lower second class honours,30095
Sex,Female,Full-time,All,2016/17,Third class honours/Pass,5630
Sex,Female,Full-time,All,2016/17,Unclassified,9770
Sex,Female,Full-time,All,2017/18,First class honours,52290
Sex,Female,Full-time,All,2017/18,Upper second class honours,91940
Sex,Female,Full-time,All,2017/18,Lower second class honours,29450
Sex,Female,Full-time,All,2017/18,Third class honours/Pass,5295
Sex,Female,Full-time,All,2017/18,Unclassified,9845
Sex,Female,Full-time,All,2018/19,First class honours,54405
Sex,Female,Full-time,All,2018/19,Upper second class honours,92250
Sex,Female,Full-time,All,2018/19,Lower second class honours,29660
Sex,Female,Full-time,All,2018/19,Third class honours/Pass,5270
Sex,Female,Full-time,All,2018/19,Unclassified,10110
Sex,Female,Full-time,All,2019/20,First class honours,66150
Sex,Female,Full-time,All,2019/20,Upper second class honours,87945
Sex,Female,Full-time,All,2019/20,Lower second class honours,23460
Sex,Female,Full-time,All,2019/20,Third class honours/Pass,3675
Sex,Female,Full-time,All,2019/20,Unclassified,9490
Sex,Female,Part-time,All,2014/15,First class honours,3000
Sex,Female,Part-time,All,2014/15,Upper second class honours,6940
Sex,Female,Part-time,All,2014/15,Lower second class honours,5520
Sex,Female,Part-time,All,2014/15,Third class honours/Pass,2835
Sex,Female,Part-time,All,2014/15,Unclassified,2645
Sex,Female,Part-time,All,2015/16,First class honours,2735
Sex,Female,Part-time,All,2015/16,Upper second class honours,6130
Sex,Female,Part-time,All,2015/16,Lower second class honours,4915
Sex,Female,Part-time,All,2015/16,Third class honours/Pass,2665
Sex,Female,Part-time,All,2015/16,Unclassified,2130
Sex,Female,Part-time,All,2016/17,First class honours,2835
Sex,Female,Part-time,All,2016/17,Upper second class honours,5900
Sex,Female,Part-time,All,2016/17,Lower second class honours,4745
Sex,Female,Part-time,All,2016/17,Third class honours/Pass,2645
Sex,Female,Part-time,All,2016/17,Unclassified,1905
Sex,Female,Part-time,All,2017/18,First class honours,2520
Sex,Female,Part-time,All,2017/18,Upper second class honours,4715
Sex,Female,Part-time,All,2017/18,Lower second class honours,3955
Sex,Female,Part-time,All,2017/18,Third class honours/Pass,2415
Sex,Female,Part-time,All,2017/18,Unclassified,1580
Sex,Female,Part-time,All,2018/19,First class honours,2645
Sex,Female,Part-time,All,2018/19,Upper second class honours,5020
Sex,Female,Part-time,All,2018/19,Lower second class honours,3675
Sex,Female,Part-time,All,2018/19,Third class honours/Pass,2075
Sex,Female,Part-time,All,2018/19,Unclassified,1560
Sex,Female,Part-time,All,2019/20,First class honours,2040
Sex,Female,Part-time,All,2019/20,Upper second class honours,2990
Sex,Female,Part-time,All,2019/20,Lower second class honours,2235
Sex,Female,Part-time,All,2019/20,Third class honours/Pass,1265
Sex,Female,Part-time,All,2019/20,Unclassified,1175
Sex,Male,Full-time,England,2014/15,First class honours,23960
Sex,Male,Full-time,England,2014/15,Upper second class honours,49785
Sex,Male,Full-time,England,2014/15,Lower second class honours,22355
Sex,Male,Full-time,England,2014/15,Third class honours/Pass,4655
Sex,Male,Full-time,England,2014/15,Unclassified,4295
Sex,Male,Part-time,England,2014/15,First class honours,2230
Sex,Male,Part-time,England,2014/15,Upper second class honours,3830
Sex,Male,Part-time,England,2014/15,Lower second class honours,2910
Sex,Male,Part-time,England,2014/15,Third class honours/Pass,1640
Sex,Male,Part-time,England,2014/15,Unclassified,860
Sex,Male,Full-time,Northern Ireland,2014/15,First class honours,625
